I believe in America.                                                                 --- Acredito na América.
- What do you want for Christmas?                                                     --- - Que queres tu para o Natal?
- Just you.                                                                           --- - Só te quero a ti.
Andiamo, Fredo.                                                                       --- Vamos, Fredo.
- Tell Paulie to get the car.                                                         --- Diz ao Paulie para ir buscar o carro. Vamos embora. Está bem, pai.
- Okay, Pop. I' ll have to get it myself.                                             --- Eu vou buscá-lo.
Paulie called in sick this morning.                                                   --- O Paulie telefonou esta manhã a dizer que estava doente.
Paulie's a good kid.                                                                  --- O Paulie é bom rapaz.
I don't mind getting the car.                                                         --- Não me importo de ir buscar o carro.
Buon natale, Caro.                                                                    --- Bom Natal, amigo.
Gràzie.                                                                               --- Obrigado.
- Luca!                                                                               --- - Luca!
I'm Bruno Tattaglia.                                                                  --- Sou o Bruno Tattaglia.
- I know.                                                                             --- - Eu sei.
You know who I am?                                                                    --- Sabe quem eu sou?
I know you.                                                                           --- Eu conheço-o.
You have been talking to the Tattaglia family... right?                               --- Tem falado com a Família Tattaglia, certo?
I think you and I can do business.                                                    --- Creio que nós os dois podemos fazer negócio.
I need someone strong like you.                                                       --- Preciso de um homem forte como você.
I heard you are not happy... with the Corleone family.                                --- Constou-me que já não está satisfeito com a Família Corleone.
Want to join me?                                                                      --- Talvez queira mudar... juntar-se a mim?
What's in it for me?                                                                  --- Desde que o dinheiro me agrade.
$50, 000 to start with.                                                               --- 50. 000 dólares, para começar.
Not bad!                                                                              --- Nada mau!
Agreed?                                                                               --- De acordo?
Tom!                                                                                  --- - Tom!
Tom Hagen.                                                                            --- Tom Hagen.
Merry Christmas.                                                                      --- Feliz Natal. - Obrigado.
- Glad to see you.                                                                    --- Ainda bem que o encontro.
I want to talk to you.                                                                --- Quero falar consigo.
- I haven't got time.                                                                 --- Não tenho tempo.
Make time, Consigliere.                                                               --- Arranje tempo, Consigliere.
Get in the car.                                                                       --- Entre no carro.
What are you worried about?                                                           --- O que é que o preocupa?
If I wanted to kill you, you'd be dead already.                                       --- Se eu o quisesse matar, já estaria morto.
Get in.                                                                               --- Entre.
- Fredo, I'm going to buy some fruit.                                                 --- Espera, Fredo. - Vou comprar umas frutas.
- Okay, Pop.                                                                          --- - Está bem, pai.
Merry Christmas.                                                                      --- Feliz Natal.
I want some fruit.                                                                    --- Quero umas frutas...
Would you like me better if I were a nun?                                             --- Mike, gostarias mais de mim se eu fosse freira?
Like in the story.                                                                    --- Sabes, como na história?
No.                                                                                   --- Não.
- What if I were Ingrid Bergman?                                                      --- Então, gostarias mais de mim, se eu fosse a Ingrid Bergman?
- Now, that's a thought.                                                              --- Aí já tenho de pensar.
Michael.                                                                              --- Michael...
No, I wouldn't like you better if you were Ingrid Bergman.                            --- Não, não gostaria mais de ti, se fosses a Ingrid Bergman.
What's the matter?                                                                    --- - Michael, Michael...
They don't say if he's dead or alive.                                                 --- Não dizem se ele está morto ou vivo.
- Sonny, it's Michael.                                                                --- - Sonny. É o Michael.
- Where have you been?                                                                --- - Michael, onde estavas?
- Is he all right?                                                                    --- - Ele está bem?
- We don't know yet.                                                                  --- - Ainda não sabemos.
There are all kinds of stories.                                                       --- Há muitas versões.
He was hit bad, Mikey.                                                                --- Ele está bastante mal, Mikey.
- Are you there?                                                                      --- - Estás a ouvir?
- Yeah, I'm here.                                                                     --- - Sim, estou a ouvir.
- Where have you been?                                                                --- Onde estavas? Estava preocupado.
I was worried. - Didn't Tom tell you I called?                                        --- O Tom não te disse que eu tinha telefonado?
No. Look, come home, kid.                                                             --- Vem para casa, rapaz.
You should be with Mama, you hear?                                                    --- - Deves estar com a mãe, certo?
Oh, my God.                                                                           --- Meu Deus.
Sonny!                                                                                --- Sonny!
Stay back there.                                                                      --- Afasta-te.
- Who is it?                                                                          --- - Quem é?
- Open up, it's Clemenza.                                                             --- - Abre, é o Clemenza.
There's more news about your old man.                                                 --- Há mais notícias sobre o seu pai.
Word is out that he's already dead.                                                   --- Consta que já está morto.
- What's the matter with you?                                                         --- - Que se passa contigo?
- Take it easy!                                                                       --- - Valha-me Deus, tem calma!
- Where was Paulie?                                                                   --- Onde estava o Paulie?
- Sick.                                                                               --- O Paulie está doente.
He's been sick all winter.                                                            --- Tem andado doente todo o Inverno.
- How often?                                                                          --- - Quantas vezes esteve ele doente?
- Only three, four times.                                                             --- - Talvez três ou quatro vezes.
- Freddy didn't want a new bodyguard.                                                 --- O Freddy disse que não era preciso outro guarda-costas.
- Pick him up now.                                                                    --- Faz-me um favor, vai já buscá-lo.
I don't care how sick he is.                                                          --- Quero lá saber se está doente.
Bring him to my father's house right now.                                             --- Se ele estiver a respirar, quero que o leves a casa do meu pai já, percebes? Já!
- You want anyone sent over here?                                                     --- - Queres que mande alguém para aqui?
- No. Go ahead.                                                                       --- - Não, não, só nós os dois.
I'm going to have a couple of our people come over to the house.                      --- Vêm cá a casa umas duas pessoas. São dos nossos.
- Hello?                                                                              --- - Está?
- Santino Corleone?                                                                   --- - Santino Corleone?
- Yeah.                                                                               --- - Sim.
- We have Tom Hagen.                                                                  --- - Temos o Tom Hagen.
In three hours he'll be released with our proposition.                                --- Daqui a três horas, será libertado e levará a nossa proposta.
Listen to what he has to say before you do anything.                                  --- Ouve tudo o que ele tem a dizer, antes de fazeres alguma coisa.
What's done is done.                                                                  --- O que está feito, está feito.
Don't lose that famous temper of yours, Sonny.                                        --- E não percas a tua famosa disposição, sim, Sonny?
I' ll wait.                                                                           --- Não, eu espero.
Your boss is dead.                                                                    --- O seu chefe morreu.
I know you're not in the muscle end of the family, so don't be scared.                --- Sei que não está bem dentro da família, Tom. Por isso, não quero que tenha medo.
I want you to help the Corleones and me.                                              --- Quero que ajude os Corleones e quero que me ajude.
We got him outside his office about an hour after we picked you up.                   --- Apanhámo-lo fora do escritório cerca de uma hora depois de o termos apanhado a si.
Drink it.                                                                             --- Beba.
It's up to you to make peace between me and Sonny.                                    --- Agora, compete-lhe fazer as pazes entre mim e o Sonny.
Sonny was hot for my deal, wasn't he?                                                 --- O Sonny queria entrar no meu negócio, não queria?
And you knew it was the right thing to do.                                            --- E você sabia que era a coisa acertada para se fazer.
- Sonny will come after you.                                                          --- O Sonny virá atrás de si com tudo o que ele tem.
- That will be his first reaction, sure.                                              --- É claro que essa será a primeira reacção dele.
So you have to talk sense into him.                                                   --- É por isso que tem de pôr-lhe juízo na cabeça.
The Tattaglia family is behind me.                                                    --- A Família Tattaglia apoia-me com toda a sua gente.
The other New York families will go along with anything to prevent war.               --- As outras Famílias nova-iorquinas alinharão em qualquer coisa que evite uma guerra em larga escala.
Let's face it, with all due respect, the Don rest in peace was slipping.              --- Sejamos realistas, Tom, e com o devido respeito, o Don, que descanse em paz, estava a" patinar".
Ten years ago, could I have gotten to him?                                            --- Há dez anos atrás, tê-lo-ia eu apanhado?
Well, now he's dead, Tom, and nothing can bring him back.                             --- Bom, agora ele está morto. Está morto, Tom, e nada pode trazê-lo de volta.
You've got to talk to Sonny, to the Caporegimes, Tessio, fat Clemenza.                --- Por isso, tem de falar com o Sonny. Tem de falar com os Caporegimes, aquele Tessio, e o gordo Clemenza.
It's good business, Tom.                                                              --- É um bom negócio, Tom.
I' ll try.                                                                            --- Tentarei.
But even Sonny won't be able to call off Luca Brasi.                                  --- Mas nem o Sonny será capaz de dissuadir Luca Brasi.
Yeah, well...                                                                         --- Pois, bem...
Let me worry about Luca.                                                              --- Deixe que eu me preocupe com o Luca.
You just talk to Sonny.                                                               --- Fale apenas com o Sonny.
And the other two kids.                                                               --- E com os outros dois rapazes.
- I' ll do my best.                                                                   --- - Farei o possível.
- Good.                                                                               --- - Óptimo.
Now you can go.                                                                       --- Agora, pode ir.
I don't like violence, Tom.                                                           --- Não gosto de violência, Tom.
I'm a businessman.                                                                    --- Sou um homem de negócios.
Blood is a big expense.                                                               --- Sangue é uma grande despesa.
He's still alive.                                                                     --- Ele ainda está vivo!
They hit him with five shots, and he's still alive!                                   --- Deram-lhe 5 tiros e ele ainda está vivo!
That's bad luck for me, and bad luck for you if you don't make that deal.             --- O azar é meu, e o azar é seu se não fizer o combinado.
Your mother is at the hospital with your father.                                      --- A sua mãe está no hospital com o seu pai.
Looks like he'll pull through.                                                        --- Parece que vai safar-se, graças a Deus.
It's a lot of bad blood.                                                              --- - É demasiado sangue. - Que achas?
Sollozzo, Philip Tattaglia, Bruno Tattaglia, Ramon...                                 --- Acho que é demasiado. Acho que é muito pessoal. - Don consideraria isto uma pura...
- You gonna kill all those guys?                                                      --- - Vais matar esses tipos todos? Não te metas nisto, Mikey, por favor.
- Stay out of it.                                                                     --- Sollozzo é a chave.
If you get rid of Sollozzo, everything falls into line.                               --- Livra-te dele, e tudo entrará nos eixos.
What about Luca?                                                                      --- E o Luca?
Sollozzo thinks he can control him.                                                   --- O Sollozo acha que pode controlá-lo.
If Luca sold out, we're in a lot of trouble.                                          --- Se o Luca se vender, teremos muitos problemas.
- Has anyone been in touch with Luca?                                                 --- Alguém conseguiu entrar em contacto com o Luca?
- We've been trying all night.                                                        --- Tenho tentado a noite toda. Talvez tenha passado a noite fora.
- Hey, do me a favor...                                                               --- - Mikey, faz-me um favor...
- Luca never sleeps over with a broad.                                                --- - Luca nunca dorme com uma fulana... tenta ligar para o Luca.
Well, Tom, you're consigliere.                                                        --- Bom, Tom, és o Consigliere.
What do we do if the old man dies?                                                    --- Que faremos se o velho morrer, que Deus não o permita?
If we lose the old man, we lose the political contacts and half our strength.         --- Se perdermos o velhote, perderemos os contactos políticos e metade da nossa força.
The other New York families might support Sollozzo to avoid a long war.               --- As outra Famílias de Nova lorque talvez acabem por apoiar Sollozzo, só para evitar uma guerra longa e destrutiva.
This is almost 1946.                                                                  --- Estamos quase em 1946.
Nobody wants bloodshed anymore.                                                       --- Ninguém quer mais derramamento de sangue.
If your father dies you make the deal.                                                --- Se o vosso pai morrer... farás o acordo, Sonny.
- Easy to say.                                                                        --- Isso é fácil de dizer, Tom.
He's not your father.                                                                 --- Ele não é teu pai.
- I'm as much a son as you or Mike.                                                   --- Fui tão filho dele como tu ou o Mike.
What is it?                                                                           --- O que é?
- Paulie, I told you to stay put.                                                     --- Paulie, pensei que tinha dito para ficares a vigiar.
- The guy at the gates has a package.                                                 --- Os tipos do portão dizem que têm um pacote. Sim?
Tessio, go see what it is.                                                            --- Tessio, vai ver o que é.
- Shall I stay?                                                                       --- Quer que fique por aqui?
- Yeah.                                                                               --- - Sim, fica por aqui.
Are you all right?                                                                    --- Sentes-te bem?
- I'm fine.                                                                           --- - Sim, estou bem.
- There's food.                                                                       --- - Há comida no frigorífico.
Are you hungry?                                                                       --- Tens fome? - Não, está tudo bem.
- A drink?                                                                            --- Uma bebida?
Brandy will sweat it out.                                                             --- Que tal um conhaque? É bom, torna tudo agradável.
- Go ahead.                                                                           --- - Está bem, talvez seja uma boa ideia.
- That might be a good idea.                                                          --- - Pois, vai lá.
Take care of that son-of-a- bitch.                                                    --- Quero que trates já daquele filho da mãe.
Paulie sold out the old man.                                                          --- O imbecil do Paulie traiu o velhote. Não quero voltar a vê-lo.
- Make that the first thing on your list.                                             --- É a primeira coisa que vais fazer, percebes?
- Understood.                                                                         --- Entendido.
Mickey, tomorrow, get some guys and go to Luca's apartment.                           --- Mikey, amanhã, arranja uns tipos e vai ao apartamento do Luca dar uma volta e esperar que ele chegue.
Maybe we shouldn't get Mike mixed up in this too directly.                            --- Talvez não devêssemos envolver directamente o Mike nisto.
Hanging around the house on the phone would be a big help.                            --- Ouve... Andar pela casa a tentar telefonar seria uma grande ajuda.
Try Luca again.                                                                       --- Tenta o Luca outra vez, vá lá.
- What's this?                                                                        --- - Que raio é isto?
- A Sicilian message.                                                                 --- - É uma mensagem siciliana.
It means Luca Brasi sleeps with the fishes.                                           --- Significa que Luca Brasi está a fazer companhia aos peixinhos.
- I'm going.                                                                          --- - Eu vou agora.
- When will you be home?                                                              --- - A que horas voltas esta noite?
Probably late.                                                                        --- Não sei. Provavelmente tarde.
- Don't forget the cannoli!                                                           --- Não te esqueças dos cannoli!
- Yeah, yeah, yeah.                                                                   --- - Sim, sim, sim, sim.
Rocco, sit on the other side.                                                         --- Rocco, senta-te do outro lado.
You block the rear-view mirror.                                                       --- Tapas o espelho retrovisor.
Sonny's running wild.                                                                 --- Este Sonny está descontrolado.
He wants to go to mattresses already.                                                 --- Está a pensar em passar já ao ataque.
We have to find a spot on the West Side.                                              --- Temos de descobrir um local no lado oeste.
Try 309 West 43rd Street.                                                             --- Tenta a Rua 43, 309 Oeste.
- Know a good spot on the West Side?                                                  --- Conheces algum sítio bom no lado oeste?
- I' ll think about it.                                                               --- - Sim, vou pensar nisso.
Think while you're driving.                                                           --- - Pensa nisso enquanto conduzes.
I want to hit New York this month.                                                    --- Quero chegar a Nova lorque ainda este mês.
Watch the kids.                                                                       --- Cuidado com os miúdos a fazeres a marcha-atrás.
Paulie, go down 39th Street, pick up 18 mattresses and bring me the bill.             --- Paulie, quero que desças a Rua 39. Carlos Santos. Ve a la C/ 39, compra 18 colchones y me pasas la cuenta. Recolhes 18 colchões para os tipos dormirem, enquanto me trazes a conta.
Yeah, all right.                                                                      --- Está bem. Eles devem saber de tudo.
Make sure they're clean, because the guys will be there a long time.                  --- Certifica-te de que estão limpos, porque esses tipos vão ficar presos lá dentro durante muito tempo.
- They're clean and exterminated.                                                     --- Eles estão limpos. Disseram-me que os exterminaram.
- That's a bad word to use.                                                           --- Exterminar, não é uma palavra boa para se usar!
Exterminate!                                                                          --- Exterminar, olha-me para este tipo!
Watch out, so we don't exterminate you!                                               --- Cuidado, olha que te exterminamos!
Pull over.                                                                            --- Encosta aí.
I' ve got to take a leak.                                                             --- Tenho de ir mijar.
Leave the gun.                                                                        --- Deixa a arma.
Take the cannoli.                                                                     --- Traz os cannoli.
Hey, Mike!                                                                            --- Mike.
Hey, Mikey!                                                                           --- Mikey!
- Yeah.                                                                               --- - Sim.
- Phone call!                                                                         --- - Telefone para ti!
- Who is it?                                                                          --- - Quem é?
- Some girl.                                                                          --- - Uma rapariga.
- Hello. Kay?                                                                         --- - Está, Kay?
- How's your father?                                                                  --- - Como está o teu pai?
He's going to make it.                                                                --- Está bom. Vai safar-se.
I love you.                                                                           --- Amo-te.
I love you!                                                                           --- Amo-te.
- Michael?                                                                            --- - Michael?
- Yeah, I know.                                                                       --- - Sim, eu sei.
- Tell me you love me.                                                                --- - Diz que me amas.
- I can't talk.                                                                       --- - Não posso falar.
Can't you say it?                                                                     --- Não podes dizê-lo?
I' ll see you tonight.                                                                --- Vejo-te esta noite.
Why don't you tell that nice girl you love her?                                       --- Mikey. Por que não dizes àquela rapariga bonita que a amas?
I love you with all my heart.                                                         --- Amo-te com todo o meu coração.
If I don't see you again soon, I'm going to die!                                      --- Se não te vir em breve, vou morrer!
Come and learn something.                                                             --- Chega aqui, rapaz. Aprende uma coisa.
You might have to cook for 20 guys some day.                                          --- Nunca se sabe se, um dia, teremos de cozinhar para 20 tipos.
You start with a little oil, then fry some garlic.                                    --- Vês? Deitas um pouco de azeite e fritas uns alhos.
Throw in some tomatoes, tomato paste, fry it and make sure it doesn't stick.          --- Depois pões tomates, pasta de tomate, fritas, certificas-te de que não pega.
You get it to a boil, you shove in all your sausage and meatballs.                    --- Deixas ferver. Misturas todas as salsichas e as almôndegas.
Add a little bit of wine.                                                             --- E um pouco de vinho.
And a little bit of sugar.                                                            --- E um pouco de açúcar.
That's my trick.                                                                      --- É este o meu truque.
Cut the crap.                                                                         --- Por que não paras com isso?
I have more important things for you.                                                 --- Há coisas mais importantes para fazeres.
How's Paulie?                                                                         --- - Como está o Paulie?
You won't see him no more.                                                            --- - O Paulie? Nunca mais o verás.
- Where are you going?                                                                --- - Onde vais?
- To the city.                                                                        --- - À cidade.
- Send bodyguards with him.                                                           --- Manda uns guarda-costas com ele.
- I'm going to the hospital...                                                        --- - Vou apenas ao hospital ver... - Esquece. Manda alguém com ele.
He'll be all right.                                                                   --- Ele não corre perigo.
Sollozzo knows he's a civilian.                                                       --- O Sollozzo sabe que é um civil.
- Be careful.                                                                         --- - Tem cuidado.
- Yes, sir.                                                                           --- - Sim, senhor.
Send somebody with him anyway.                                                        --- Manda alguém com ele, de qualquer modo.
- I have to go.                                                                       --- - Tenho de ir.
- Can I go with you?                                                                  --- - Posso ir contigo?
No, Kay.                                                                              --- Não, Kay.
There will be detectives there, people from the press.                                --- Vão lá estar detectives, gente da imprensa.
I' ll wait in the cab.                                                                --- Esperarei no táxi.
I don't want you to get involved.                                                     --- Não quero que te envolvas.
When will I see you again?                                                            --- Quando voltarei a ver-te?
Go back to New Hampshire, and I' ll call you at your parents´ house.                  --- Volta para New Hampshire, e eu telefonarei para casa dos teus pais.
- When will I see you again, Michael?                                                 --- Quando te verei outra vez, Michael?
- I don't know.                                                                       --- Não sei.
What are you doing here?                                                              --- Que está a fazer aqui?
You're not supposed to be here.                                                       --- Não devia estar aqui agora.
I'm Michael Corleone.                                                                 --- Sou Michael Corleone.
This is my father.                                                                    --- Este é o meu pai.
What happened to the guards?                                                          --- Não há aqui ninguém. Que aconteceu aos guardas?
Your father had too many visitors.                                                    --- O seu pai teve muitas visitas.
They interfered with hospital service.                                                --- Interferiam com o serviço do hospital.
The police made them leave about 10 minutes ago.                                      --- A Polícia fê-los sair há cerca de dez minutos.
Get me Long Beach 45620, please.                                                      --- Ligue-me a Long Beach, 45620, por favor.
Nurse.                                                                                --- Enfermeira!
Wait a minute. Stay here.                                                             --- Espere um minuto.
Sonny, I'm at the hospital.                                                           --- Sonny, é o Michael. Estou no hospital.
I got here late, there's nobody here.                                                 --- Ouve, cheguei aqui tarde, e não está aqui ninguém.
No Tessio's men, no detectives, nobody.                                               --- Ninguém. Nenhuns homens do Tessio, nenhum detective, ninguém.
Papa's all alone.                                                                     --- O papá está sozinho.
- Don't panic.                                                                        --- - Não te assustes.
- I won't panic.                                                                      --- - Não vou entrar em pânico.
I'm sorry, but you will have to leave.                                                --- Desculpe, mas vai ter de sair.
We're going to move him to another room.                                              --- Nós os dois vamos mudar o meu pai para outro quarto.
Can you disconnect the tubes?                                                         --- Pode desligar esses tubos para podermos tirar a cama daqui?
- That's out of the question!                                                         --- - Isso está fora de questão!
- Do you know my father?                                                              --- - Conhece o meu pai?
Men are coming here to kill him.                                                      --- Vêm cá homens para o matar.
Do you understand?                                                                    --- Entende?
Help me, please.                                                                      --- Agora, ajude-me, por favor.
- Who are you?                                                                        --- Quem é você?
- I am Enzo, the Baker.                                                               --- Sou Enzo, o padeiro.
- Remember me?                                                                        --- Lembra-se de mim? - Enzo.
- Enzo.                                                                               --- - Sim, Enzo.
You'd better go, there's going to be trouble.                                         --- É melhor sair daqui, Enzo; vai haver sarilho.
If there is trouble, I' ll stay here to help you.                                     --- Se houver sarilho, ficarei aqui para o ajudar. Pelo seu pai.
For your father.                                                                      --- Pelo seu pai.
Listen.                                                                               --- Muito bem, ouça.
Wait for me outside, in front of the hospital, all right?                             --- Espere por mim lá fora, em frente ao hospital, está bem?
I' ll be out in a minute.                                                             --- Eu saio dentro de um minuto. Vá andando.
Just lie here, Pop.                                                                   --- Fique aqui deitado, pai.
I' ll take care of you now.                                                           --- Agora, vou tratar de si.
I'm with you now.                                                                     --- Agora estou consigo.
I'm with you.                                                                         --- Estou consigo.
Get rid of these.                                                                     --- Livre-se disto.
Come here.                                                                            --- Chegue aqui.
Put your hand in your pocket, like you have a gun. You'll be all right.               --- Ponha a mão no bolso, como se tivesse uma arma.
You did good.                                                                         --- Portou-se muito bem.
I thought all you Guinea hoods were locked up!                                        --- Pensei que tinha prendido todos os seus bandidos. Que faz aqui?
- Why isn't anyone guarding my father?                                                --- Que aconteceu aos homens que estavam a guardar o meu pai?
- You little punk!                                                                    --- Seu marginal!
Don't you tell me my business!                                                        --- Está a dizer-me o que tenho de fazer?
I pulled them off.                                                                    --- Eu tirei os tipos daqui, não?
- Stay away from this hospital!                                                       --- Agora, saia daqui e não se aproxime deste hospital.
- Not until my father's room is guarded.                                              --- Não saio daqui até pôr uns guardas no quarto do meu pai.
- Phil, take him in!                                                                  --- - Phil, leva-o!
- The kid's clean, Captain.                                                           --- - O rapaz está limpo, Capitão.
- He's a war hero.                                                                    --- - É um herói da guerra.
He's never been...                                                                    --- Nunca esteve...
- I said take him in!                                                                 --- - Raios! Disse para o levarem!
- What's The Turk paying you?                                                         --- Quanto lhe paga o Turco para tramar o meu pai, Capitão?
- Take a hold of him.                                                                 --- Segurem-no!
Stand him up.                                                                         --- Levantem-no!
Stand him up straight.                                                                --- Levantem-no e endireitem-no!
I'm the Corleones´ attorney.                                                          --- Sou advogado da Família Corleone.
These men are hired to protect Vito Corleone.                                         --- Estes homens são detectives particulares contratados para proteger Vito Corleone.
They're licensed to carry firearms.                                                   --- Têm licença de porte de arma.
If you interfere, you'll have to appear before the judge and show´cause.              --- Se interferir, terá de apresentar-se ao juiz, de manhã, e defender-se.
Let him go.                                                                           --- Muito bem, libertem-no.
- What's with all the new faces?                                                      --- - Para quê tanta cara nova?
- We'll need them now.                                                                --- - Iremos precisar deles agora.
After the hospital thing, Sonny got mad.                                              --- Depois daquilo no hospital, o Sonny ficou furioso.
We hit Bruno Tattaglia this morning.                                                  --- Matámos o Bruno Tattaglia às 4 horas da manhã.
Jesus Christ.                                                                         --- Valha-me Deus!
Looks like a fortress around here.                                                    --- Isto parece uma fortaleza.
Tamaduch!                                                                             --- Tamaduch!
Hey... 100 buttonmen on the street 24 hours a day.                                    --- Ouve... Cem homens na rua 24 horas por dia.
That Turk shows one hair on his ass, he's dead.                                       --- Se aquele turco aparecer por aqui, é um homem morto.
Mike, let me look at you.                                                             --- Mike, chega aqui... Deixa-me olhar para ti.
You're beautiful, beautiful.                                                          --- Estás lindo, lindo.
You're gorgeous.                                                                      --- Estás um espanto.
The Turk wants to talk!                                                               --- Ouve isto. O Turco quer falar.
Imagine the nerve of the son-of-a- bitch.                                             --- Imaginas a lata do filho da mãe?
- He wants a meeting today.                                                           --- Ontem à noite, fez asneira. Hoje, quer um encontro.
- What did he say?                                                                    --- - Que disse ele?
What did he say...                                                                    --- - Que disse ele?
He wants us to send Michael to hear the proposition.                                  --- Blá, blá, blá.
He promises that the deal is too good to refuse.                                      --- Quer que enviemos o Michael ouvir a proposta dele, e a promessa é que o acordo é tão bom que não podemos recusar.
- And Bruno Tattaglia?                                                                --- - E o Bruno Tattaglia?
- That's part of the deal.                                                            --- - Faz parte do acordo.
- He cancels out what they did to Father.                                             --- O Bruno anula o que fizeram ao meu pai.
- We should listen to them.                                                           --- Sonny, deveríamos ouvir o que eles têm a dizer. Não, não!
No more!                                                                              --- Chega!
Not this time, Consigliere.                                                           --- Desta vez, não, Consigliere.
No more meetings, discussions, or Sollozzo tricks.                                    --- Chega de encontros e discussões, chega dos truques do Sollozzo.
I want Sollozzo, or we go to war...                                                   --- Dá-lhe um recado. Quero o Sollozzo, senão vamos para a guerra... Sonny!
- The other families...                                                               --- As outras Famílias não ficarão paradas a ver a guerra!
- They hand me Sollozzo!                                                              --- Então, entreguem-me o Sollozzo!
This is business, not personal!                                                       --- O teu pai não quereria ouvir isto! Isto é negócio, não é pessoal.
- They shot my father...                                                              --- Alvejaram o meu pai; negócios, uma ova!
- Even that was business, not personal.                                               --- Até os tiros no teu pai foram negócio.
Then business will have to suffer.                                                    --- Então, o negócio terá de sofrer, certo?
Do me a favor.                                                                        --- Faz-me um favor, Tom.
No more advice on how to patch things up.                                             --- Chega de conselhos sobre este assunto.
Just help me win.                                                                     --- Ajuda-me só a ganhar, por favor.
I found out about Captain McCluskey, who broke Mike's jaw.                            --- Investiguei o Capitão McCluskey que partiu o maxilar ao Mike.
He's definitely on Sollozzo's payroll, and for big money.                             --- É certo que ele está na folha de pagamentos do Sollozzo, e não é por pouco dinheiro. Vês?
McCluskey has agreed to be The Turk's bodyguard.                                      --- McCluskey aceitou ser o guarda-costas do Turco.
So when Sollozzo is being guarded, he's invulnerable.                                 --- Tens de entender, Sonny, que enquanto o Sollozzo estiver a ser protegido deste modo, é invulnerável.
Nobody has ever gunned down a New York police captain.                                --- Nunca ninguém disparou contra um Capitão da Polícia de Nova Iorque.
All the families would come after you.                                                --- Seria desastroso. As 5 Famílias viriam atrás de ti, Sonny.
The Corleone family would be outcasts!                                                --- A Família Corleone seria banida!
Even the old man's political protection would run for cover.                          --- Até a protecção política do velhote se escudaria.
Do me a favor. Take this into consideration.                                          --- Por isso, faz-me um favor, toma isto em consideração.
