Mumbai, 2006                                                                          --- Bombaim, 2006
Wanna come?                                                                           --- Queres vir?
For god's sake, you've got some disease?                                              --- Por amor de Deus, tens alguma doença?
You're forcing back to this shithole.                                                 --- Estás-nos a forçar a voltar a este buraco de merda.
We leave our friends, a good life, lots of money.                                     --- Abandonamos os nossos amigos, uma boa vida, Muito dinheiro.
For this?!                                                                            --- Por isto?!
We came back to find her.                                                             --- Voltamos para a encontrar.
You did.                                                                              --- Fala por ti.
I don't give a shit about her.                                                        --- Eu não quero saber dela.
Plenty of pussy in Bombay for Salim.                                                  --- Muita cona em Bombaim para o Salim.
Oh yes!                                                                               --- Oh sim!
You should come back to the Cages on Saturday night, instead of ghost searching for your lost love. --- Devias voltar ao Cages no sábado à noite, em vez de andares atrás de fantasmas em busca do teu amor perdido.
I'm going to Chowpatty.                                                               --- Eu vou a Chowpatty.
I'm going to Chowpatty!                                                               --- Eu vou a Chowpatty!
There are 19 million people in this city, Jamal.                                      --- Vivem 19 milhões de pessoas nesta cidade, Jamal.
Forget about her.                                                                     --- Esquece-a.
She's a "stree" (= yound Indian female dancer)                                        --- Ela já era.
Greetings, Sir.                                                                       --- Boas, senhor.
Blessings be unto those who do good for others.                                       --- Abençoados sejam os que são bons para os outros.
Dollars.                                                                              --- Dólares.
How much?                                                                             --- Quanto?
100.                                                                                  --- 100.
- So you take me for a fool.                                                          --- - Você pensa que sou um tolo.
Honestly.                                                                             --- A sério.
I swear on my mothers soul.                                                           --- Juro pela alma da minha mãe.
What's on this note?                                                                  --- Quem está na nota?
Whose picture is it?                                                                  --- É desenho de quem?
There's an old man...                                                                 --- É um velho...
He's bald on top with long hair on the sides, like a girl.                            --- Ele é careca no topo e tem cabelos compridos de lado, como uma rapariga.
Benjamin Franklin.                                                                    --- Benjamin Franklin.
So you're a big guy now, Jamal.                                                       --- Então agora és grande, Jamal.
I'm happy for you.                                                                    --- Fico contente por ti.
I'm sorry...                                                                          --- Desculpa-me...
You got saved my friend.                                                              --- Tu salvaste-te meu amigo.
I wasn't so lucky.                                                                    --- Eu não tive tanta sorte.
That's the only difference.                                                           --- É a única diferença.
Arvind, I'm trying to find...                                                         --- Arvind, Estou a tentar encontrar...
You owe Maman.                                                                        --- Tu deves ao Maman.
Stay away.                                                                            --- Mantém-te longe.
He never forgets.                                                                     --- Ele nunca esquece.
I owe Latika.                                                                         --- Eu devo à Latika.
She's alive isn't she?                                                                --- Ela ainda está viva, não está?
More than alive.                                                                      --- Mais que viva.
She's on Pila street.                                                                 --- Ela está na Rua Pila.
They call her Cherry.                                                                 --- Eles chamam-na de Cherry.
Thanks.                                                                               --- Obrigado.
I'll be singing at your funeral.                                                      --- Eu vou cantar no teu funeral.
So, is it her or not?                                                                 --- Então, é ela ou não?
She's sexy, man!                                                                      --- Meu, ela é sexy!
Who is this?                                                                          --- Quem é este?
- Jamal?                                                                              --- - Jamal?
I'll get the bags.                                                                    --- Vou buscar as malas.
- Who are you?                                                                        --- - Quem és tu?
What do you want?                                                                     --- O que é que queres?
You stupid boys!                                                                      --- Rapazes estúpidos!
- Pack it in!                                                                         --- - Arruma as coisas!
Put that.                                                                             --- Põe isso.
How did you find me?                                                                  --- Como me encontraste?
Take the cash.                                                                        --- Tira o dinheiro.
Come on!                                                                              --- Vamos!
We got it.                                                                            --- Já temos.
Let's go!                                                                             --- Vamos embora!
Shit.                                                                                 --- Merda.
Look who we have here!                                                                --- Olhem o quem temos aqui!
Hello again.                                                                          --- Olá outra vez.
Jamal, Salim.                                                                         --- Jamal, Salim.
I never forget a face.                                                                --- Nunca esqueço uma cara.
Have a nose especially one that I own.                                                --- Tem um nariz especialmente um que me pertence.
You really thought you could just walk in and take my prize away?                     --- Vocês pensavam realmente que podiam chegar e levar o meu prémio?
Latika, come.                                                                         --- Latika, vem.
Have you any idea how much this little virgin is worth?                               --- Vocês fazem ideia de quanto vale esta pequena virgem?
Please continue, Master-Ji.                                                           --- Continue por favor, Mestre Ji.
- Ok, sir.                                                                            --- - Ok, senhor.
Get them out of here!                                                                 --- - Tirem-nos daqui!
- No!                                                                                 --- - Não!
Move!                                                                                 --- Mexe-te!
Get over there!                                                                       --- Vai para ali!
Let's not be foolish, Salim.                                                          --- Não sejas parvo, Salim.
Heavy, isn't it?                                                                      --- É pesada, não é?
Give it to me.                                                                        --- Vai para ali!
On your knees!                                                                        --- 
Down!                                                                                 --- Os dois!
Both of you!                                                                          --- 
Down!                                                                                 --- Para baixo!
Money!                                                                                --- Dinheiro!
You can have money, here.                                                             --- Podes ficar com o dinheiro, toma.
Look.                                                                                 --- Olha.
Take it.                                                                              --- Leva-o.
Go, disappear with your friend.                                                       --- Vai, desaparece com o teu amigo.
And we'll forget all about this, ok?                                                  --- E vamos todos esquecer isto, ok?
Maman never forgets.                                                                  --- O Maman nunca esquece.
Isn't that right?                                                                     --- Não é verdade?
Oh, Maman can make an exception, huh?                                                 --- Oh, o Maman pode abrir uma excepção, huh?
I can't take that risk Maman.                                                         --- Não posso correr esse risco, Maman.
Sorry.                                                                                --- Desculpa.
Let's go.                                                                             --- Vamos.
Stay!                                                                                 --- Fica!
- Jamal!                                                                              --- - Jamal!
Let's go!                                                                             --- Vamos!
Let's go!                                                                             --- Vamos!
Who invented the revolver?                                                            --- Quem inventou o revolver?
Samuel Colt.                                                                          --- Samuel Colt.
Final answer?                                                                         --- Resposta final?
Final answer.                                                                         --- Resposta final.
Jamal Malik, you're on a dream run.                                                   --- Jamal Malik, você está a correr atrás de um sonho.
My heart says you're gonna win more.                                                  --- O meu coração diz que você vai ganhar mais.
Computer, please check answer A.                                                      --- Computador, bloqueia a resposta A?
I was right.                                                                          --- Eu estava certo.
The chaiwalla has done it again.                                                      --- O chaiwalla voltou a conseguir.
Incredible!                                                                           --- Incrível!
Reception!                                                                            --- Recepção!
Stay there.                                                                           --- Fica aí.
Look away.                                                                            --- Olha para o lado.
I'll know if you're looking.                                                          --- Eu saberei se estiveres a olhar.
No i'm not.                                                                           --- Não, não estou.
Is Salim still there?                                                                 --- O Salim ainda está aí?
Where is Salim?                                                                       --- Onde está o Salim?
I don't know.                                                                         --- Não sei.
You're a sweet boy, Jamal.                                                            --- És um querido, Jamal.
I'm looking for Javed.                                                                --- Estou à procura do Javed.
Motherchud!                                                                           --- Motherchud!
He's not looking for you.                                                             --- Ele não está à tua procura.
I killed Maman, and I'll kill you too.                                                --- Eu matei o Maman, e vou-te matar também.
Easy.                                                                                 --- Fácil.
Did you really kill him?                                                              --- Mataste-o mesmo?
Good.                                                                                 --- Boa.
My enemy's enemy is a friend.                                                         --- O inimigo do meu inimigo é meu amigo.
Come here, my friend.                                                                 --- Chega aqui, amigo.
I've been looking for someone like you.                                               --- Tenho procurado alguém como tu.
You came back for me.                                                                 --- Voltaste por mim.
Of course.                                                                            --- Claro.
I thought you'd forgotten.                                                            --- Pensava que me tinhas esquecido.
I never forgot.                                                                       --- Nunca esqueci.
Not for one moment.                                                                   --- Nem por um momento.
I knew I'd find you in the end.                                                       --- Eu sabia que no final te encontraria.
It's our destiny.                                                                     --- É o nosso destino.
Destiny?                                                                              --- Destino?
Thank you.                                                                            --- Obrigado.
Come.                                                                                 --- Vem.
No, brother.                                                                          --- Não, irmão.
You had a lot to drink.                                                               --- Tu bebeste muito.
I am the elder.                                                                       --- Eu sou o mais velho.
I am the boss.                                                                        --- Eu sou o chefe.
For once you do as I say.                                                             --- Por uma vez faz o que te digo.
Now get out!                                                                          --- Agora saí!
Come on, I saved your life, didn't I?                                                 --- Vamos lá, eu salvei-te a vida, não foi?
Salim, please... I'll kill you!                                                       --- Por favor, Salim... Eu mato-te!
I am number one now.                                                                  --- Eu agora sou o número um.
Salim!                                                                                --- Salim!
Open!                                                                                 --- Abre!
Shut up!                                                                              --- Cala-te!
The man with the Colt 45 says shut up!                                                --- O homem com a Colt 45 diz para te calares!
Go now or gun master will shoot you right between the eyes.                           --- Agora vai ou o mestre da arma vai disparar mesmo no meio dos teus olhos.
Don't think you want.                                                                 --- Não penses que ele não vai.
I'm giving you five seconds.                                                          --- Dou-te cinco segundos.
One.                                                                                  --- Um.
Two.                                                                                  --- Dois.
Go, Jamal.                                                                            --- Vai, Jamal.
Ciao.                                                                                 --- Ciao.
So, did you see them again?                                                           --- E então, voltaste a vê-los?
I wouldn't be here if I had.                                                          --- Eu não estaria aqui se tivesse.
Was she pretty?                                                                       --- Ela era bonita?
I guess not.                                                                          --- Não devia de ser.
The most beautiful woman in the world.                                                --- A mulher mais bonita do Mundo.
You mean of the beach of the slum.                                                    --- Ele quer dizer a Slumbitch (cabra da favela).
Well well...                                                                          --- Bem, bem...
the slumdog barks.                                                                    --- O slumdog ladra.
Money and women.                                                                      --- Dinheiro e mulheres.
The reasons for make most mistakes in life.                                           --- As razões para se fazerem a maioria dos erros na vida.
Looks like you've mixed up both.                                                      --- Parece que estás no meio das duas.
Srinivas, you need the exersice.                                                      --- Srinivas, precisas de ir fazer exercício.
Go and get me something to eat.                                                       --- Vai me buscar alguma coisa para comer.
Yes sir.                                                                              --- Sim senhor.
And chai.                                                                             --- E chá.
Idiot, Srinivas.                                                                      --- Srinivas, é um idiota.
You puzzled me slumdog.                                                               --- Intrigas-me slumdog.
Admitting murder and fraud is not exactly clever thinking.                            --- Admites homicídio a um oficial da polícia. Não é propriamente muito inteligente.
Now why would you do that?                                                            --- Porque é que farias isso?
When somebody asks me a question I tell them the answer.                              --- Quando alguém me faz uma pergunta, eu dou-lhe a resposta.
So, how did you manage to get on the show?                                            --- Então, como conseguiste entrar no concurso?
Okay everyone, listen up.                                                             --- Ok escutem, todos.
It's been a big week for UK.                                                          --- Foi uma grande semana para o Reino Unido.
Kat is back.                                                                          --- A Kat voltou.
But she is already back.                                                              --- Mas ela já tinha voltado.
Bardi...                                                                              --- - Bardi...
Jamal?                                                                                --- Jamal?
Oh, well, she did come back, then she went away when Alfie split up with her.         --- Oh, bem, ela voltou, depois ela foi se embora quando o Alfie acabou com ela.
And now she's back again, but it looks as if Alfie still fancies more...              --- E agora está de volta outra vez, mas parece que o Alfie ainda a deseja...
Thank you, Jamal.                                                                     --- Obrigado, Jamal.
Bardi, keep up.                                                                       --- Bardi, acompanha.
The chaiwalla knows more than you.                                                    --- O chaiwalla sabe mais que tu.
Anyway, there's also the festival in Edinburgh.                                       --- De qualquer forma, há também o festival em Edimburgo.
Anybody knows Edinburgh, Edinburgh?                                                   --- Alguém conhece Edimburgo, Edimburgo?
Kilts, castles, haggis.                                                               --- Kilts, Castelos, haggis.
Ben Navis.                                                                            --- Ben Navis.
Good, yes?                                                                            --- Boa, sim?
Inspector Taggart, whiskey, Sean Connery.                                             --- Inspector Taggart, whiskey, Sean Connery.
Good, and "lochs".                                                                    --- Boa, e "lochs".
Their word for lakes.                                                                 --- A palavra deles para lagos.
No filming.                                                                           --- Não filmem.
Jamal, come here.                                                                     --- Jamal, chega aqui.
I'm on "Millionaire" duty today.                                                      --- Estou hoje de serviço ao "Milionário".
Dave!                                                                                 --- Dave!
Please, just for five minutes.                                                        --- Por favor, só por cinco minutos.
- I can't.                                                                            --- - Não posso.
Sit here.                                                                             --- Senta-te aqui.
If the boss comes just pretend you're on a call doing an upgrade for... "Friends and Family", I know. --- Se o supervisor aparecer finge que estás numa chamada de um upgrade para... "Amigos e Família", eu sei.
- Yeah.                                                                               --- - Yeah.
Two minutes.                                                                          --- Dois minutos.
"Who wants to be a millionaire?"                                                      --- "Quem Quer Ser Milionário?"
Dial this number now!                                                                 --- Digite este número, agora!
Hello.                                                                                --- Olá.
Hello!                                                                                --- Olá!
I would like to be a contestant of "Who wants to be a millionaire?"                   --- Gostaria de ser um participante no "Quem Quer Ser Milionário?"
Bloody bastard.                                                                       --- Cabrão de merda.
I never get it.                                                                       --- Nunca consigo.
You have to dial, when Prem says "if".                                                --- Tens de ligar, quando o apresentador diz "se".
That's when they open the lines.                                                      --- É nessa altura que abrem as linhas.
How the hell do you know that?                                                        --- Como raio sabes isso?
That's what Anjum in Technical says.                                                  --- É o que o Anjum na Técnica diz.
He put a system in.                                                                   --- Ele colocou um sistema.
Hello?                                                                                --- Olá?
Hello?                                                                                --- Olá?
Anybody there, for god's sake?                                                        --- Por amor de Deus?
Hello?                                                                                --- Olá?
Dear god will somebody talk to me?                                                    --- Por amor de Deus alguém fale comigo?
Hello, Mrs MacKintosh from Kin..                                                      --- Olá, Mrs MacKintosh de Kin...
gussie.                                                                               --- gussie.
It's Kingussie, love.                                                                 --- É Kingussie, querido.
Pronounced: "Kee-nu-ssi".                                                             --- Pronuncia-se: "Kee-nu-ssi".
So where are you from?                                                                --- 
Abroad i bet?                                                                         --- Aposto que do estrangeiro?
Just down the road from your house, Mrs. MacKintosh.                                  --- Sou de mais abaixo na sua rua, Mrs. MacKintosh.
Next to the "loch".                                                                   --- Perto do "loch".
Ok, which "loch"?                                                                     --- Ok, que "loch"?
"Loch" Big...                                                                         --- "Loch" Big (grande)...
"loch" Ben...                                                                         --- "Loch" Ben...
"Loch" Big Ben.                                                                       --- "Loch" Big Ben.
Next door to Sean Connery's flat.                                                     --- No apartamento a seguir ao do Sean Connery.
Look.                                                                                 --- Olhe.
I'd like to your supervisor, son?                                                     --- Gostaria de falar com o seu supervisor, filho.
Disconnected.                                                                         --- (Desligado).26,283
What name do you require?                                                             --- 
Search complete.                                                                      --- 
26,283 results found.                                                                 --- 
15 results found.                                                                     --- 15
Yes?                                                                                  --- Sim?
Salim?                                                                                --- Salim?
Who is this?                                                                          --- Quem fala? Sabe que horas são?
Do you know what time is this?                                                        --- 
Hello?                                                                                --- 
Who is this?                                                                          --- Quem é?
I'm calling from XL5 Communications sir.                                              --- Estou a ligar da XL5 Comunicações senhor.
As a valued customer, we are offering you a free upgrade with our "Friends and... family" --- Sendo um cliente de valor, estamos-lhe a ofe- recer uma actualização grátis de "Amigos e... Família"
Jamal?                                                                                --- Jamal?
Is that you, brother?                                                                 --- És tu, irmão?
Where are you?                                                                        --- Onde é que estás?
I thought you were dead or something.                                                 --- Pensava que estavas morto.
Listen, we had to go Jamal.                                                           --- Ouve Jamal, nós tivemos de fugir.
Maman's guys...                                                                       --- Os homens do Maman...
they were searching the hotel.                                                        --- Eles estavam a vasculhar o hotel.
Jamal?                                                                                --- Jamal?
Say something, please!                                                                --- Diz qualquer coisa, por favor!
Hello, Salim.                                                                         --- Olá, Salim.
Cambridge Circus is not in Cambridge.                                                 --- Cambridge Circus não é em Cambridge.
Can I ask why?                                                                        --- Posso perguntar porquê?
Too obvious.                                                                          --- Demasiado óbvio.
There's definitely an Oxford Circus in London                                         --- Existe definitivamente um Oxford Circus em Londres
There's a rowing race between Oxford and Cambridge, so ther's probably a Cambridge Circus too, no? --- Existe uma pista de remo entre Oxford e Cambridge, Por isso é provável que exista também um Cambridge Circus, não?
I'll go for D. London.                                                                --- Vou para a D. Londres.
Computer, please check answer D.                                                      --- Computador, bloqueia a resposta D.
Jamal Malik, you are absolutely right.                                                --- Jamal Malik, está absolutamente correcto.
It's getting hot in here.                                                             --- Está a ficar calor aqui.
Are you nervous?                                                                      --- Está nervoso?
What?                                                                                 --- O quê?
Am I nervous?                                                                         --- Se estou nervoso?
It's you who's in the hot seat, my friend.                                            --- É você que está na cadeira quente, meu amigo.
Oh yes, sorry.                                                                        --- Oh sim, desculpe.
He's got prey on the run.                                                             --- Ele tem a presa a fugir.
Finally.                                                                              --- Finalmente.
A few hours ago you were giving chai for the phone wallas.                            --- Algumas horas atrás você estava servindo chá ao pessoal dos telefones.
And now you're richer than they will ever be.                                         --- E agora você está mais rico que eles alguma vez serão.
What a player!                                                                        --- Que jogador!
Ladies and gentlemen, what a player!                                                  --- Senhoras e senhores, que jogador!
Jamal?                                                                                --- Jamal?
God is good, Bhai.                                                                    --- Deus é bom, Bhai (irmão).
God is good.                                                                          --- Deus é bom.
Maman's guys were out for us.                                                         --- Os homens do Maman estavam atrás de nós.
We just had to escape.                                                                --- Tivemos de escapar.
- Liar.                                                                               --- - Mentiroso.
- I left a message for you at work.                                                   --- - Deixei-te uma mensagem no trabalho.
We waited for weeks for you.                                                          --- Esperamos várias semanas por ti.
- There was no message.                                                               --- - Não havia nenhuma mensagem.
- Bhai.                                                                               --- - Bhai.
I definitely left a message.                                                          --- Eu deixei mesmo uma mensagem.
There was no message!                                                                 --- Não havia mensagem!
There was no message!!                                                                --- Não havia mensagem!!
I will never forgive you.                                                             --- Nunca te perdoarei.
I know.                                                                               --- Eu sei.
That used to be our slum.                                                             --- Aquela era a nossa favela.
Can you believe that, huh?                                                            --- Consegues acreditar, huh?
We used to live right there man.                                                      --- Nós vivíamos mesmo ali, meu.
Now it's all business.                                                                --- Agora é tudo um negócio.
India is at the center of the world now.                                              --- Agora a Índia está no centro do Mundo.
Bhai.                                                                                 --- Bhai.
And I... I am at the center of the center.                                            --- Agora a Índia está no centro do Mundo.
This is all Javed heights.                                                            --- Isto é tudo arranha-céus do Javed.
Javed Khan?                                                                           --- Javed Khan?
The gangster from our slum?                                                           --- O mafioso da nossa favela?
You work for him?                                                                     --- Tu trabalhas para ele?
Come on.                                                                              --- Vá lá.
Who else would save us from Maman's guys, huh?                                        --- Quem mais nos salvaria dos homens do Maman, huh?
What do you do for him?                                                               --- O que é que fazes para ele?
Anything he asks.                                                                     --- Tudo o que ele pedir.
He's coming.                                                                          --- Ele está a chegar.
You need to go now.                                                                   --- Tu precisas de ir agora.
Take my card.                                                                         --- Leva o meu cartão.
What for?                                                                             --- Para quê?
You think them gonna let you out of my sight again, huh?                              --- Pensas que te vou deixar perder de vista outra vez, huh?
You stay with me my younger brother.                                                  --- Tu vais ficar comigo, meu irmão mais novo.
Now go.                                                                               --- Agora vai.
My place.                                                                             --- Para a minha casa.
Salim!                                                                                --- Salim!
Where is Latika?                                                                      --- Onde está a Latika?
Still?                                                                                --- Ainda?
She's gone brother.                                                                   --- Ela foi-se embora irmão.
Long gone.                                                                            --- Há muito tempo.
Now go.                                                                               --- Agora vai.
Go to my place.                                                                       --- Vai para a minha casa.
You get there.                                                                        --- Vai para lá.
I'll be right there.                                                                  --- Eu vou a caminho.
Oh Lord forgive me.                                                                   --- Oh Senhor perdoe-me.
I know that I have sinned.                                                            --- Eu sei que pequei.
Oh Lord forgive me.                                                                   --- Oh Senhor perdoe-me.
I know that I have sinned.                                                            --- Eu sei que pequei.
I am your new cook from the agency.                                                   --- Sou o novo cozinheiro da agência.
Thousands apologies!                                                                  --- Mil desculpas!
I'm so late for the mensa!                                                            --- Estou tão atrasado para servir à mesa!
Just a minute.                                                                        --- Só um minuto.
Excuse me.                                                                            --- Desculpe.
Excuse me.                                                                            --- Desculpe.
There's nothing about any cook.                                                       --- Não há nada sobre um cozinheiro.
There's a dishwasher being delivered.                                                 --- Existe um pedido de lavador de pratos.
Do you know anything about that?                                                      --- Sabes alguma coisa sobre isso?
I...                                                                                  --- Eu...
I'm your dishwasher.                                                                  --- Eu sou o lavador de pratos.
Look at you.                                                                          --- Olha para ti.
I've found you.                                                                       --- Encontrei-te.
Your face.                                                                            --- A tua cara.
You've hurt your eye.                                                                 --- Aleijaste-te no olho.
Why are you here?                                                                     --- Porque estás aqui?
To see you.                                                                           --- Para te ver.
You see me, now what?                                                                 --- Viste-me, e agora?
Why does everyone love this program?                                                  --- Porque é que toda a gente gosta deste programa?
This is a chance to escape, isn't it?                                                 --- É uma hipótese de fugir, não é?
Walk into another life.                                                               --- E ter uma nova vida.
Oh, god.                                                                              --- Oh, Deus.
Javed will kill you.                                                                  --- O Javed vai-te matar.
Here.                                                                                 --- Toma.
Javed?                                                                                --- Javed?
You are with him?                                                                     --- Estás com ele?
First, you want a dishwasher, now you want this fucking cook, huh?                    --- Primeiro, queres uma máquina de lavar loiça, agora queres um raio de um cozinheiro?
He's just...                                                                          --- - Ele só...
- Shut up!                                                                            --- - Ele só...
The cricket is on and why you watch this shit tv?                                     --- Vai dar o críquete. E porque vês esta merda na TV?
At least I am a millionaire.                                                          --- Pelo menos sou um milionário.
Come on, I am hungry.                                                                 --- Vá, estou com fome.
Make me a sandwich.                                                                   --- Faz-me uma sandes.
Come away with me.                                                                    --- Foge comigo.
Away?                                                                                 --- Fugir?
Where?                                                                                --- Para onde?
And live out what?                                                                    --- E viver do quê?
Love.                                                                                 --- Amor.
Come away with me.                                                                    --- 
Now.                                                                                  --- Agora.
Salim will help us.                                                                   --- Salim, ajuda-nos.
Salim?                                                                                --- Salim?
You still believe in Salim?                                                           --- Ainda acreditas no Salim?
Jamal, I'll be gone soon anyway.                                                      --- Jamal, de qualquer forma eu vou me embora em breve.
We're getting out of Bombay.                                                          --- Nós vamos sair de Bombaim.
Where?                                                                                --- Para onde?
You think he'd tell me?                                                               --- Pensas que ele me diz?
No!                                                                                   --- Não!
No!                                                                                   --- Não!
No!                                                                                   --- Não!
What is this shit?                                                                    --- Que merda é esta?
Get out!                                                                              --- Saí!
Get out!                                                                              --- Saí!
Go, before he kills us both.                                                          --- Vai, antes que ele nos mate aos dois.
You want to do something for me?                                                      --- Queres fazer algo por mim?
- Anything.                                                                           --- - Qualquer coisa.
Then forget me.                                                                       --- Então esquece-me.
What?                                                                                 --- O quê?
No.                                                                                   --- Não.
I will wait.                                                                          --- Eu vou esperar.
The VT station.                                                                       --- E então?
5 o'clock, every day until you come.                                                  --- Vou estar todos os dias às 17 horas na estação VT, até apareceres.
I love you.                                                                           --- Eu amo-te.
So what?                                                                              --- 
It's too late, Jamal.                                                                 --- É tarde demais, Jamal. Agora vai.
Now go.                                                                               --- Agora vai.
So Jamal.                                                                             --- Então Jamal.
Which cricketer has scored the most first class centuries in history?                 --- Que jogador na história do críquete marcou mais centenas de pontos de primeira classe?
A:Sachin Tendulkar                                                                    --- A:Sachin Tendulkar
B:Ricky Ponting                                                                       --- B:Ricky Ponting
C:Michael Slater                                                                      --- C:Michael Slater
D:Jack Hobbs                                                                          --- D:Jack Hobbs
But remember, if you answer wrong you lose everything, just like this.                --- Mas lembre-se, que se errar na resposta Perde tudo, assim.
So do you want to do this?                                                            --- Então quer ir em frente?
Dreams of so many... on the floor.                                                    --- O sonho de tanta gente... no chão.
Time for commercial break ladies and gentlemen I know, I know.                        --- É altura para um intervalo, senhoras e senhores Eu sei, Eu sei.
I can't stand the tension either.                                                     --- Eu também não consigo aguentar a tensão.
We'll be right back.                                                                  --- Nós já voltamos.
Guy from the slums becomes a millionaire overnight.                                   --- Um tipo das favelas torna-se um milionário do dia para a noite.
You know who's the only other person who's done that?                                 --- Sabes quem é a única outra pessoa a conseguir isso?
Me.                                                                                   --- Eu.
I know what it feels like.                                                            --- Eu sei como sabe.
I know what you're being through.                                                     --- Eu sei o que estás a passar.
I'm not going to become a millionaire.                                                --- Eu não me vou tornar num milionário.
I don't know the answer.                                                              --- Eu não sei a resposta.
You said that before, yeah...                                                         --- Já disseste isso antes, yeah...
Really, this time I don't.                                                            --- Não, a sério, desta vez não sei.
Come on, you can't take the money and run now.                                        --- Vá lá, não podes pegar no dinheiro agora e desistir.
You are on the edge of history kid.                                                   --- Estás quase a fazer história.
I don't see what else I can do.                                                       --- Não estou a ver o que posso fazer mais.
Maybe it's written my friend.                                                         --- Talvez esteja escrito, amigo.
I just have some kind of gut feeling, you're gonna win this.                          --- Eu tenho um instinto que me diz que vais vencer isto.
Trust me, Jamal.                                                                      --- Confia em mim, Jamal. Tu vais ganhar.
You're gonna win.                                                                     --- Tu vais ganhar.
Standby, everyone.                                                                    --- Toda a gente, preparada.
We are on line in 30...                                                               --- Vamos começar em 13...
Yeah, he's gone.                                                                      --- Sim, ele está a vir.
I'm just giving...                                                                    --- Eu vou buscá-lo...
Go fast.                                                                              --- Rápido.
20 seconds!                                                                           --- 20 segundos!
Do the right thing and in approximately 3 minutes you'll be as famous as me.          --- Faz as coisas de forma certa e dentro de aproximadamente 3 minutos serás famoso como eu.
10 seconds!                                                                           --- 10 segundos!
And as rich as me.                                                                    --- E tão rico quanto eu.
Almost.                                                                               --- Quase.
5 seconds!                                                                            --- 5 segundos!
4...                                                                                  --- 4...
3...                                                                                  --- 3...
From rags to raja.                                                                    --- De rags a raja.
It's your destiny.                                                                    --- É o teu destino.
We are on.                                                                            --- 
Applause and music please!                                                            --- Aplausos e música se fazem favor!
Welcome back to "Who Wants to Be a Millionaire?"!                                     --- Bem-vindo de volta ao "Quem Quer Ser Milionário?"!
In the chair tonight is Jamal Malik, as if we don't know.                             --- Esta noite na cadeira, como se não soubéssemos, está Jamal Malik.
For 10 million rupees.                                                                --- Para 10 Milhões de rupias.
To question once again.                                                               --- Pergunto-lhe mais uma vez.
Which cricketer has scored the most first class centuries in history?                 --- Que jogador na história do críquete marcou mais centenas de pontos de primeira classe?
No it isn't Sachin Tendulkar.                                                         --- Sei que não é Sachin Tendulkar.
That's a start.                                                                       --- É um ponto de partida.
So it could be Ricky Ponting, Jack Hobbs or Michael Slater.                           --- Então pode ser Ricky Ponting, Jack Hobbs ou Michael Slater.
I'll use a lifeline.                                                                  --- Vou usar uma ajuda.
Fifty-fifty.                                                                          --- 50-50.
ok.                                                                                   --- ok.
Computer, take away the two wrong answers please.                                     --- Computador, retira duas respostas erradas por favor.
Well, you were right about Sachin Tendulkar.                                          --- Bem, você estava certo sobre o Sachin Tendulkar.
That leaves your fifty-fifty choice, Jamal.                                           --- Isto deixa-te com a tua escolha de 50-50, Jamal.
B: Ricky Ponting or D: Jack Hobbs.                                                    --- B: Ricky Ponting ou D: Jack Hobbs.
What do you think?                                                                    --- O que achas?
Decision time.                                                                        --- É altura de decidir.
For 10 million rupees.                                                                --- Para 10 Milhões de rupias.
B: Ricky Ponting or D: Jack Hobbs.                                                    --- B: Ricky Ponting ou D: Jack Hobbs.
D.                                                                                    --- D.
Not B?                                                                                --- Não é a B?
The Ricky Ponting, the Australian great cricketer?                                    --- Ricky Ponting, o grande jogador australiano de críquete?
D, Jack Hobbs.                                                                        --- D, Jack Hobbs.
You know?                                                                             --- Você sabe?
So it could be B, Ricky Ponting?                                                      --- Então pode ser a B, Ricky Ponting?
Or D, Jack Hobbs.                                                                     --- Ou a D, Jack Hobbs.
The final answer, D.                                                                  --- Resposta final, D.
Computer, please check answer D.                                                      --- Computador, bloqueia a resposta D.
Answer D.                                                                             --- Resposta final, D.
With 197 first class centuries, the answer is...                                      --- Com 197 centenas de primeira classe, a resposta é...
D, Jack Hobbs!                                                                        --- D, Jack Hobbs!
Jamal Malik!                                                                          --- Milionário!
Millionaire!                                                                          --- Milionário!
Do the dance!                                                                         --- Faça a dança!
Come on!                                                                              --- Faça a dança!
Well done!                                                                            --- Muito bem!
Well done.                                                                            --- Muito bem.
Are you ready for the final question?                                                 --- Está preparado para a última pergunta?
For 20 million rupees.                                                                --- Para 20 milhões de rupias.
No.                                                                                   --- Não.
But maybe it's written.                                                               --- Mas talvez esteja escrito.
Maybe.                                                                                --- Talvez.
Okay.                                                                                 --- Ok.
The final question!                                                                   --- A pergunta final do: "Quem Quer Ser...
On who wants to be a...                                                               --- A pergunta final do: "Quem Quer Ser...
What a show ladies and gentlemen!                                                     --- 
What a show!                                                                          --- 
Join us tomorrow night to see, if Jamal Malik has made the biggest mistake of his life on just one answer. --- Junte-se a nós amanhã à noite, para saber se o Jamal Malik cometeu o maior erro da sua vida numa só pergunta.
Biggest one.                                                                          --- 
This way.                                                                             --- Vemo-nos amanhã, ok?
Great show.                                                                           --- Grande espectáculo. Vemo-nos amanhã, ok?
See you tomorrow ok.                                                                  --- Vemo-nos amanhã, ok?
Be on time.                                                                           --- 
Bye.                                                                                  --- Adeus.
What's going on?                                                                      --- 
He's a cheat.                                                                         --- Deste-lhe uma resposta?
- How do you know he's cheating?                                                      --- - Como sabes se ele está a fazer batota?
