How you doing, Keaton?                                                                --- Como estás, Keaton?
I like cops.                                                                          --- E eu agradeço.
I would've liked to have been a fed, but my CP--                                      --- Eu gostava de ter sido um polícia federal, mas eu...
You're not tellin' us everything.                                                     --- Verbal, você não nos está a contar a história toda.
I know you know something.                                                            --- Sei que você sabe algo mais.
I told the DA everything I know.                                                      --- Contei ao Ministério Público tudo o que sabia.
I know you like Keaton.                                                               --- Verbal ...sei que gostas do Keaton.
-I know you think he's a good man.                                                    --- Eu sei que ele era bom. Era um policia corrupto.
-I know he was good.                                                                  --- Era um policia corrupto.
He was a corrupt cop.                                                                 --- Claro, há 15 anos atrás.
Sure.                                                                                 --- 
15 years ago, but he was a good thief.                                                --- Mas ele era um bom ladrão.
The cops wouldn't let him go legit.                                                   --- De qualquer forma, os policias não o deixariam endireitar-se.
Dean Keaton was a piece of shit.                                                      --- Dean Keaton era um merdas.
Are you trying to get a rise out of me?                                               --- Está a tentar sobrepor-se a mim, Agente Kujan?
-I just wanna hear your story.                                                        --- Só quero ouvir a tua história.
-It's all there.                                                                      --- Posso fumar?
May I have a cigarette?                                                               --- - De acordo com teu depoimento...
-According to your statement-- -I need a light.                                       --- De acordo com teu depoimento, és um operador.
According to your statement, you're a short-con operator... run-of-the-mill--         --- De acordo com teu depoimento, és um operador.
According to your statement, you're a short-con operator... run-of-the-mill scams.    --- De acordo com teu depoimento, és um operador. Escapaste da fraude das máquinas.
It's been suppressed.                                                                 --- Qualquer coisa sobre isso é inadmissível.
Anything in there is inadmissible.                                                    --- Sim, eu sei.
I know.                                                                               --- Sim, eu sei.
Sweet deal you have here.                                                             --- Grande acordo tens aqui.
Total immunity.                                                                       --- Imunidade total.
I do have the weapons charge.                                                         --- Vejo seis meses inteiros de prisão para ti.
I'm lookin' at six whole months hard time.                                            --- Vejo seis meses inteiros de prisão para ti.
You know a dealer named Ruby Deemer?                                                  --- Conheces um traficante chamado Ruby Deemer, Verbal?
You know a religious guy named John Paul?                                             --- Você conhece um individuo religioso chamado João Paulo II?
-You know Ruby's in Attica?                                                           --- Ele não tinha o meu advogado.
-He didn't have my lawyer.                                                            --- Ele não tinha o meu advogado.
I know Ruby.                                                                          --- Conheço o Ruby.
He's big on respect.                                                                  --- Ele é um grande amigo meu.
He's a good friend of mine, likes me very much.                                       --- Ele tem muitos amigos lá dentro ...eu faço-lhe muitos favores.
I know your testimony is sealed.                                                      --- Já sei que o teu testemunho está lacrado.
Ruby's well connected.                                                                --- O Ruby tem boas ligações.
He's got lots of friends inside who do favors for him.                                --- Ele tem muitos amigos lá dentro ...eu faço-lhe muitos favores.
What would he say if he found out you dropped his name to the DA?                     --- O que achas que ele fazia ao descobrir que deste o nome dele para o Ministério Público?
-There's nothing there on Ruby.                                                       --- Vou-me certificar de lhe dizer isso.
-I'll be sure to mention that to him.                                                 --- Vou-me certificar de lhe dizer isso.
Know what I've learned on the job?                                                    --- Sabes qual foi a 1ª coisa que aprendi neste trabalho?
How to spot a murderer.                                                               --- Como descobrir um assassino.
Say you arrest three guys for the same killing.                                       --- Supõe que prendes 3 gajos... pelo mesmo assassínio.
Put them in jail overnight.                                                           --- Pões todos na cadeia por uma noite.
Next morning, whoever's sleeping is your man.                                         --- Na manhã seguinte, quem estiver a dormir, é o culpado.
If you're guilty, you know you're caught. You let your guard down.                    --- Repara, se és culpado e sabes que foste apanhado, descuidas-te... e baixas a tua guarda.
-You follow me?                                                                       --- Estás a acompanhar?
-No.                                                                                  --- Não.
Let me get to the point.                                                              --- Vou directo ao assunto.
I'm smarter than you, and I'm gonna find out what I wanna know.                       --- E eu vou descobrir o que quero saber. E vou sacá-lo de ti, quer queiras quer não.
I'll get it, whether you like it or not.                                              --- E vou sacá-lo de ti, quer queiras quer não.
I'm not a rat.                                                                        --- Não sou um bufo.
Thanks.                                                                               --- Obrigado.
When I was pickin' beans in Guatemala we used to make fresh coffee.                   --- Quando eu apanhava café na Guatemala, costumávamos fazer café fresco.
Right off the trees, I mean.                                                          --- 
That was good.                                                                        --- Isto é uma merda.
-This is shit, but I'm in a police station.                                           --- Mas, estou numa esquadra de polícia...  Podemos começar outra vez?
-Can we get started again?                                                            --- O que aconteceu depois da sala de suspeitos?
What happened after the lineup?                                                       --- O que aconteceu depois da sala de suspeitos?
The desk sergeant was telling me he couldn't release you.                             --- ...O sargento estava a tentar dizer-me que eles não te podiam libertar.
Can you believe that?                                                                 --- Nem sequer foste acusado!
You weren't even charged.                                                             --- Polícia de Nova lorque!
Damn police.                                                                          --- Polícia de Nova lorque!
I wanna have pictures taken of your face. -I'll take them to the DA tomorrow.         --- Sabes, eu quero fotografias tuas... para mandar para o Ministério Público amanhã de manhã cedo.
-Forget about it.                                                                     --- De maneira nenhuma!
I'll have this thing in front of a grand jury by Monday.                              --- Vou levar isto ao grande júri na segunda de manhã.
I don't want to talk about it, okay?                                                  --- Ouve, eu não quero falar sobre isto, Edie.
What did Fortier and Renault say?                                                     --- O que disseram o Fortier e o Renault?
They asked for more time to think about investing.                                    --- Pediram mais tempo para pensar sobre o restaurante.
Damn it.                                                                              --- 
More time for what?                                                                   --- Mais tempo para quê, Edie?
No matter how you cover my tracks they're still gonna find out about me.              --- Por mais que tentes apagar o meu cadastro, descobrem sempre o meu passado.
Give me some credit.                                                                  --- 
I got you this far.                                                                   --- Vamos ao grande júri.
Let's go to the grand jury.                                                           --- Vamos ao grande júri.
-This isn't gonna stop if we don't-- -It's never going to stop, period.               --- Sabes, isto não vai parar se nós... Isto nunca terminará.
By next week, every investor in the city is gonna be walking away from us.            --- Na próxima semana, cada investidor da cidade estará a fugir de nós.
It's finished.                                                                        --- Eu estou acabado.
I'm finished.                                                                         --- Eu estou acabado.
Don't give up on me now.                                                              --- Não desistas agora, Dean.
It's never gonna stop.                                                                --- Isto nunca irá terminar.
I love you.                                                                           --- Eu amo-te.
They ruined me in there tonight.                                                      --- Eles arruinaram-me esta noite.
I love you.                                                                           --- Eu amo-te.
Do you hear me?                                                                       --- Estás a ouvir?
What?                                                                                 --- O quê?
All right.                                                                            --- 
Let's just go to my place.                                                            --- Vamos para minha casa.
We'll worry about this tomorrow.                                                      --- Preocupamo-nos com isto amanhã.
Let's go.                                                                             --- 
Fenster and McManus had a cagey proposition:                                          --- O Fenster e o McManus tinham uma proposta arriscada.
A fast-jump, high-risk, long money.                                                   --- 
We all knew it could be done.                                                         --- Todos nós sabíamos que era possível fazê-lo.
The way I figured, to do it wrong meant killing.                                      --- Do meu ponto de vista, um erro significava matar.
To do it right took five men.                                                         --- Para correr tudo bem, eram necessários cinco homens.
Five men meant Keaton.                                                                --- Cinco homens, incluindo o Keaton.
Keaton took convincing.                                                               --- O Keaton tinha de ser convencido.
New York's finest taxi service.                                                       --- O melhor serviço de táxis de Nova lorque.
Bullshit.                                                                             --- Tretas!
Bullshit.                                                                             --- Eles já não fazem isso.
They don't operate anymore.                                                           --- Eles já não fazem isso.
McManus has a friend in the 14th precinct.                                            --- McManus tem um amigo na 14ª Divisão.
They're coming out for one job, Thursday.                                             --- Vão fazer um serviço, quinta feira.
They're pickin' up a guy smuggling emeralds from South America.                       --- Vão transportar um tipo que faz contrabando de esmeraldas da América do Sul.
McManus already has a fence set up.                                                   --- McManus tem um amigo na 14ª Divisão.
-A fence?                                                                             --- Quem?
Who?                                                                                  --- Quem?
-Some guy in California called Redfoot.                                               --- O nome dele é Redfoot. Nunca ouvi falar.
-I never heard of him.                                                                --- Tu tens de vir.
-You have to come.                                                                    --- Porque te importas se eu vou ou não?
-What's it to you whether I do it or not?                                             --- Porque te importas se eu vou ou não?
-They don't know me.                                                                  --- Eles...eles não me conhecem.
You do.                                                                               --- 
They won't take me unless you go.                                                     --- Não me vão aceitar, a não ser que tu vás.
Look at me.                                                                           --- Eu preciso disto.
I need this.                                                                          --- Esta casa é tua?
You're telling me you don't need this?                                                --- Ah, e tu vais dizer-me que não precisas?
Is this your place? I'm not knocking you.                                             --- Esta casa é tua?
You got a good scam going with this lawyer.                                           --- Não te estou a forçar, parece que tens um bom esquema com essa advogada...
Sorry.                                                                                --- Desculpa-me.
It's okay.                                                                            --- Não faz mal.
You say it's the real thing?                                                          --- 
That's cool.                                                                          --- Isso é bom.
You okay?                                                                             --- Eu pisei o risco.
I was out of line.                                                                    --- Eu pisei o risco.
But they're never gonna stop with us.                                                 --- Mas eles nunca irão parar de nos chatear, tu sabes isso.
You know that.                                                                        --- 
As clean as you get, they'll never let you go now.                                    --- Por mais limpo que fiques, nunca te deixarão em paz.
This way, we hit the cops where it hurts, and we get well in the meantime.            --- Desta forma nós atingimos os policias onde lhes dói mais, e enriquecemos entretanto.
You sure you're okay?                                                                 --- Tens a certeza que estás bem?
I'll be all right.                                                                    --- Vou ficar bem.
Look, I...                                                                            --- Olha, eu...
-...sometimes get-- -Forget it.                                                       --- - Esquece.
I'll probably shit blood tonight.                                                     --- Provavelmente vou cagar sangue hoje à noite.
So... how do they wanna do it?                                                        --- 
McManus wants to go in shooting.                                                      --- O McManus quer entrar aos tiros.
I say no.                                                                             --- O Fenster?
Fenster?                                                                              --- E o Hockney?
Hockney?                                                                              --- Eles estão tão fodidos que nem querem saber.
They're pretty pissed off.                                                            --- 
They'll do anything. I got a way to do it without killing anyone.                     --- Fazem-no de qualquer maneira.
But like I say, they won't let me in without you.                                     --- Mas, como te disse, eles não me deixam entrar sem ti.
$3 million?                                                                           --- Três milhões?
Maybe more.                                                                           --- Talvez mais.
No killing.                                                                           --- Sem matanças.
Not if we do it my way.                                                               --- Se o fizermos da minha maneira...
New York's finest taxi service was not your normal taxi service.                      --- O melhor serviço de táxis de Nova lorque não era o serviço de táxi normal.
It was a ring of corrupt cops in the NYPD that ran a high-profit racket... driving smugglers and drug dealers all over the city. --- Era um grupo de policias corruptos da N.Y.P.D., controlavam um esquema altamente lucrativo... transportavam traficantes e vendedores de droga por toda a cidade.
For $300 a mile, you got your own blue and white... and a police escort.              --- Por algumas centenas de dólares por milha, tinhas direito a um carro de polícia... e a uma escolta policial.
They even had their own business cards.                                               --- 
After a while, somebody started asking questions, and the taxi service shut down.     --- Algum tempo depois, alguém começou a fazer perguntas... e o serviço de táxis fechou.
Ever since then, Internal Affairs has been waiting to catch them in the act.          --- Desde então, os Assuntos Internos estiveram à espera de apanhá-los em flagrante.
That's where we came in.                                                              --- E é aí que nós entramos.
-So, how was the flight?                                                              --- E então, como foi o voo?
-Fuckin' great.                                                                       --- Óptimo.
Will this get me to Staten Island?                                                    --- 
Are you kiddin' me?                                                                   --- Isto leva-te até ao cabo Cod.
This will get you to Cape Cod. McManus came to us with the job.                       --- Isto leva-te até ao cabo Cod.
Fenster got the vans. Hockney supplied the hardware.                                  --- Eu arranjei a maneira de concretizar o plano sem matar ninguém.
I came through with how to do it so no one got killed.                                --- Eu arranjei a maneira de concretizar o plano sem matar ninguém.
But Keaton? Keaton put on the finishing touch.                                        --- Mas o Keaton... o Keaton deu-lhe o toque final.
A little "fuck you" from the five of us to the NYPD.                                  --- Um pequeno "Vão se foder" de nós os cinco, para a polícia de Nova lorque.
Watch this.                                                                           --- Ok, vê-me isto.
Careful.                                                                              --- Imbecil!
Come on, asshole!                                                                     --- 
Holy shit!                                                                            --- Não te mexas, filho da puta!
-Don't move, you fucker!                                                              --- - Mas quem?!
-Drop it now, motherfucker!                                                           --- 
Drop the fuckin' gun!                                                                 --- Larga a merda da arma!
Drop it!                                                                              --- 
Don't fuckin' touch a fuckin' thing.                                                  --- Não te atrevas a tocar nessas merdas!
-What do you guys want?                                                               --- Que querem?
-Put your fuckin' thing away.                                                         --- Idiota!
We're cops!                                                                           --- Idiota!
Stupid assholes!                                                                      --- Cuidado!
-Watch the glass!                                                                     --- Cuidado!
-Don't fuckin' move, motherfucker!                                                    --- 
-You want a buckshot shampoo, chubby?                                                 --- Queres levar um tiro, amiguinho?
-Shut up!                                                                             --- 
Fuck.                                                                                 --- Boa tarde, meus porcos.
'Afternoon, my little pork chops.                                                     --- Boa tarde, meus porcos.
Give me the shit.                                                                     --- Passa-lhe a merda da mercadoria!
-Don't move!                                                                          --- 
-Give him the shit!                                                                   --- Passa-lhe a merda da mercadoria!
Give him the fuckin' thing!                                                           --- Passa-lhe a merda da mercadoria!
Give him the fuckin' shit, man!                                                       --- Passa-lhe a merda da mercadoria!
Hurry up!                                                                             --- Vamos!
Come on!                                                                              --- Agora passa o dinheiro!
-Now the money!                                                                       --- - Não há dinheiro!
-There's no money.                                                                    --- - Passa o dinheiro!
-Give me the money now!                                                               --- - Não há de dinheiro!
-There's no fuckin' money.                                                            --- Dá-lhe o dinheiro!
Give him the fuckin' money!                                                           --- Passa a porcaria do dinheiro!
-Do it!                                                                               --- 
Give him the money!                                                                   --- Vamos!
-Give me the money!                                                                   --- Vamos!
-Give him the money!                                                                  --- - Passa o dinheiro!
-Hurry up!                                                                            --- - Rápido!
You know who the fuck I am?                                                           --- Vocês sabem quem eu sou?
You people know who the fuck I am?                                                    --- Vocês sabem quem eu sou?
Fuck! We do now, jerk-off.                                                            --- 
Cocksucker.                                                                           --- 
Wait a minute.                                                                        --- 
What's that?                                                                          --- 
What the fuck?                                                                        --- De cima a baixo.
Holy shit!                                                                            --- Raios!
Go!                                                                                   --- 
Keaton made an anonymous phone call. The press was on the scene before the police were. --- O Keaton fez um telefonema anónimo ...a imprensa estava lá antes da polícia.
Strausz and Rizzi were indicted three days later.                                     --- O Strauss e o Rizzi foram acusados 3 dias mais tarde.
Within a few weeks, 50 more cops went down with them.                                 --- E em poucas semanas, afundaram-se mais 50 policias com eles.
Everybody got it right in the ass, from the chief on down.                            --- De cima a baixo. Foi lindo.
It was beautiful.                                                                     --- Foi lindo.
I owe you $2.50.                                                                      --- Devo-te 2.50.
Dr. Keaton.                                                                           --- Isto vale mais do que eu pensava.
-There's more here than I thought.                                                    --- Isto vale mais do que eu pensava.
-When's the fence coming? Redfoot never comes to see me.                              --- 
I always go to see him.                                                               --- À Califórnia?
In California?                                                                        --- À Califórnia?
Yes, Verbal, in California.                                                           --- Sim, Verbal, à Califórnia.
Fenster and I--                                                                       --- Espera, espera...
Wait, hold the fuckin' phone.                                                         --- Estás a brincar comigo?
You and Fenster?                                                                      --- Estás a brincar comigo?
No.                                                                                   --- Não, não, não...
-You fuckin' kiddin' me?                                                              --- Estás a brincar comigo?
-So then, who's gonna go?                                                             --- Então... quem vai?
We all go.                                                                            --- Vamos todos!
What's your fuckin' problem, man?                                                     --- Qual é o teu problema?
My problem, is you and Fenster honeymooning in California... while the rest of us are sittin' here holding our dicks. --- O problema, é que tu e o Fenster estarão em lua-de-mel na Califórnia... enquanto nós ficaremos aqui sentados agarrados ao pau.
The job's over.                                                                       --- 
Cool it.                                                                              --- 
LA's a good place to lay low for a while.                                             --- L.A. é um bom sitio para ficarmos por uns tempos.
You wanna dance?                                                                      --- Queres dançar?
Ladies.                                                                               --- 
I would like to propose a toast. There you go.                                        --- Ao Sr. Verbal ...o gajo do plano.
To Mr. Verbal... the man with the plan.                                               --- Ao Sr. Verbal ...o gajo do plano.
We're gonna miss the flight.                                                          --- Vamos perder o voo.
Don't do this.                                                                        --- Não faças isso.
Send her a note.                                                                      --- Manda-lhe um recado ou qualquer coisa.
Something.                                                                            --- 
I said we'll make it.                                                                 --- Eu disse que o fazia.
We're gonna miss the plane.                                                           --- Vamos perder o voo.
She'll understand.                                                                    --- Ela vai compreender.
That's heartwarming.                                                                  --- 
Really.                                                                               --- Estou comovido.
I'm weepy.                                                                            --- Estou comovido.
You wanna wait outside?                                                               --- Jeff, podes esperar lá fora?
You guys wanted to know what happened.                                                --- Queriam saber o que aconteceu depois da sala de suspeitos.
I'm telling you.                                                                      --- Deixa-te disso Verbal.
Come on, Verbal.                                                                      --- Com quem achas que estás a falar?
Who do you think you're talkin' to?                                                   --- Com quem achas que estás a falar?
You expect me to believe that he retired?                                             --- Esperas que acredite que ele está retirado?
For a woman?                                                                          --- Por causa de uma mulher?
Bullshit.                                                                             --- O Keaton estava a usá-la.
Keaton was using her.                                                                 --- O Keaton estava a usá-la.
-He loved her.                                                                        --- Ele amava-a.
-Sure.                                                                                --- 
I'm supposed to believe that hitting the taxi service wasn't his idea.                --- E eu também devo acreditar que a ideia do serviço de táxi não foi dele?
-It was all Fenster and McManus.                                                      --- O Keaton foi policia durante 4 anos!
-Keaton was a cop for four years.                                                     --- Quem conheceria melhor o serviço de táxi?
Who else would know better?                                                           --- Aquele serviço tinha a assinatura dele!
-That job had his name on it.                                                         --- Mas a Edie deu-lhe a volta.
-Edie had him turned around.                                                          --- Deixa-me contar-te uma coisa.
Let me tell you something.                                                            --- Aquele serviço tinha a assinatura dele!
I know Dean Keaton.                                                                   --- Eu conheço o Dean Keaton.
I've been investigating him for the past three years.                                 --- Tenho-o investigado nos últimos 3 anos.
The guy I know was a cold-blooded bastard.                                            --- O gajo que eu conheço tem um enorme sangue-frio.
IAD indicted him on three counts of murder before he was kicked off the force.        --- Os Assuntos Internos acusaram-no três vezes por assassínio antes de ser expulso da polícia.
Don't sell me the hooker with a heart of gold.                                        --- Portanto não me venhas com essa história da "puta com coração de ouro".
You got him all wrong.                                                                --- Você percebeu tudo mal.
Do I?                                                                                 --- 
Dean Keaton was under indictment seven times while he was on the force.               --- O Dean Keaton foi acusado 7 vezes enquanto esteve na polícia.
In every case, witnesses either reversed their testimony... or died before they could testify. --- Em todos os casos, a testemunha ou mudou o testemunho no Grande Júri... ou morreu antes de poder testemunhar.
When they finally did nail him for fraud, he spent five years in Sing Sing.           --- Quando finalmente o apanharam por fraude passou 5 anos em Sing Sing.
He killed three prisoners inside.                                                     --- Matou 3 presos lá dentro.
Of course, I can't prove this... but I can't prove the best part either.              --- Mas é claro que eu não posso provar isso. E também não posso provar a melhor parte:
Dean Keaton was dead.                                                                 --- Dean Keaton esteve morto.
Did you know that?                                                                    --- 
He died in a fire two years ago, during an investigation into the murder... of a witness who was going to testify against him. --- Ele morreu num incêndio há 2 anos atrás... durante a investigação do assassínio de uma testemunha... que ia testemunhar contra ele.
Two people saw Dean Keaton walk into a warehouse he owned... just before it blew up.  --- Duas pessoas viram o Dean Keaton entrar num armazém que ele possuia... pouco antes deste explodir.
They said he went in to check a leaking gas main.                                     --- Disseram que ele tinha entrado para verificar uma fuga de gás.
It blew up and took all of Dean Keaton with it.                                       --- Aquilo explodiu e levou Dean Keaton também.
Within three months of the explosion, the two witnesses, they were dead.              --- Três meses depois da explosão... as 2 testemunhas estavam mortas.
One killed himself in his car. The other fell down an open elevator shaft.            --- Uma suicidou-se no carro... a outra caiu no buraco dum elevador.
Let's get this show on the road.                                                      --- Isto não é o combinámos. Há muitas pessoas na sala...
This is not what we discussed.                                                        --- Isto não é o combinámos.
There are too many-- I promise we'll be out before he blows his porch light.          --- Olhe, doutora, eu prometo que sairemos daqui o mais rápido possível.
-I have a noon meeting.                                                               --- - Agente Baer, 5 minutos.
-Five minutes.                                                                        --- - Acalmem-se todos, ok?
Everyone calm down, all right?                                                        --- Quero que lhe pergunte sobre o tiroteio na baía.
I want you to ask this man about the shootout in the harbor.                          --- Quero que lhe pergunte sobre o tiroteio na baía.
-He says they were buying-- -Dope.                                                    --- Drogas... isso já nos sabemos.
We know.                                                                              --- isso já nos sabemos.
He doesn't know what they were buying, but not dope.                                  --- Ele não sabe o que estavam a comprar, mas não era droga...
-People.                                                                              --- O quê?
-What?                                                                                --- O quê?
He needs guarantees...                                                                --- Ele quer garantias...
-What is he talking about, guarantees?                                                --- Ele está a dizer que corre perigo de vida.
-He says his life is in danger.                                                       --- Ele viu o demónio.
He saw the Devil.                                                                     --- Olhou-o nos olhos.
Looked him in the eye.                                                                --- Ele viu o demónio.
-I'm on my way.                                                                       --- 
-No, wait a minute.                                                                   --- Espere um minuto.
Ask him to tell him what he told me... about the Devil.                               --- Peça-lhe para contar o que me disse. Sobre o demónio.
Who's the Devil?                                                                      --- Quem é o demónio?
Keyser Soze.                                                                          --- Keyser Soze.
Keyser Soze? He was in the harbor, killing many men.                                  --- Ele estava na baía... a matar muitos homens.
He saw Keyser Soze?                                                                   --- Ele viu o Keyser Soze?
-He saw his face.                                                                     --- Ele viu-lhe a cara.
-All right.                                                                           --- 
Tell him to tell her what he looks like.                                              --- Diga-lhe para ele o descrever.
Describe him.                                                                         --- Descreva-o.
Six weeks ago, I get an anonymous phone call... telling me I can find Keaton eating at Mondino's, and there he is. --- Há 6 semanas atrás recebi uma chamada anónima a dizer-me que... poderia encontrar o Keaton a almoçar no Mondino's com a sua advogada.
Because he never profited from his alleged death... and we convicted someone else of the murder we tried to pin on him... we had to let him go. --- Então, como ele nunca lucrou com a sua alegada morte... e como nós condenámos outra pessoa pelo assassínio com o qual o tentávamos ligar ...tivemos de o deixar ir.
He was dead just long enough for the murder rap to blow over.                         --- Estava morto há tempo suficiente para a poeira da história do assassinato assentar.
And then he had lunch.                                                                --- Eu não sabia disso.
I don't know about that.                                                              --- Também não pensei que soubesses.
I don't think you do, but you say you saw Keaton die.                                 --- Mas afirmas que viste o Keaton morrer.
I think you're covering his ass, and he's still out there.                            --- Acho que estás a encobri-lo... e ele ainda anda lá fora em qualquer lado.
I think he's behind that circus at the harbor.                                        --- E acho que ele está por trás daquele circo todo na baía.
My bet is he's using you because you're stupid and think he's your friend.            --- Aposto que ele está a usar-te por que tu és burro e achas que ele é teu amigo.
You tell me he's dead, so be it.                                                      --- Eu quero ter certeza que ele está morto antes de voltar a Nova lorque.
I wanna be sure before I go back to New York.                                         --- Eu quero ter certeza que ele está morto antes de voltar a Nova lorque.
He wasn't behind anything.                                                            --- Dizes-me que ele está morto?
It was the lawyer.                                                                    --- Que advogado?
What lawyer?                                                                          --- Que advogado, Verbal?
What lawyer?                                                                          --- Era o advogado.
Back when I was in that barbershop quartet--                                          --- Sabe, quando eu ia à barbearia Quarteto em Skokie, Illinois, eu...
You don't think I know you held out on the DA?                                        --- Tu achas que não sei que não disseste tudo ao Ministério Público?
What did you leave out?                                                               --- Posso estar a falar ao telefone com o Ruby Deemer em 10 minutos.
I could be on the phone to Ruby in 10 minutes.                                        --- Posso estar a falar ao telefone com o Ruby Deemer em 10 minutos.
-The DA gave me immunity.                                                             --- 
-Not from me. You get no immunity from me, you piece of shit.                         --- Tu não tens imunidade de mim, meu merdas.
Every criminal I have put in prison, every cop that owes me a favor... every creep and scumbag that walks the street... will know the name of Verbal Kint. --- Todos os criminosos que eu prendi, todos policias que me devem um favor... todos os vagabundos malucos que vivem nas ruas vão saber o nome de Verbal Kint.
You talk to me... or that precious immunity they grant you... won't be worth the paper the contract put out on your life is printed on. --- Agora conta-me... ou essa preciosa imunidade que eles te garantiram... não vai valer o papel do contrato onde está escrita a tua vida.
There was a lawyer.                                                                   --- Havia um advogado.
Kobayashi.                                                                            --- Kobayashi.
-Is he the one that killed Keaton?                                                    --- Foi ele quem matou o Keaton?
-No, but I'm sure Keaton is dead.                                                     --- Mas tenho certeza que o Keaton está morto.
Convince me.                                                                          --- Conta-me todos os detalhes.
Tell me every last detail.                                                            --- Conta-me todos os detalhes.
We arrived in Los Angeles and met McManus' fence, Redfoot.                            --- Chegámos a Los Angeles e encontrámos o amigo do McManus, o Redfoot.
He had a good reputation.                                                             --- Parecia um tipo porreiro.
Seemed like a good guy.                                                               --- Mesmo assim, nós devíamos ter tido mais cuidado.
-Still, we should have known better.                                                  --- Como estás? - Bem.
-How you doing?                                                                       --- - Bem.
-Good.                                                                                --- E tu?
You?                                                                                  --- 
-Not bad.                                                                             --- - Nada mal.
Can't complain.                                                                       --- Como vão as coisas, Fenster?
How's it going, Fenster?                                                              --- Como vão as coisas, Fenster?
Don't need to open it, right?                                                         --- Não preciso de a abrir, não é?
You must be Keaton.                                                                   --- Redfoot, Dean Keaton.
Redfoot, Dean Keaton.                                                                 --- Todd Hockney e Verbal Kint.
-Todd Hockney and Verbal Kint.                                                        --- Verbal. O gajo do plano...
-Verbal, the man with the plan.                                                       --- O gajo do plano...
You interested in more work?                                                          --- Estamos sempre à procura de trabalhos extra.
-We're always looking for extra work.                                                 --- Estamos sempre à procura de trabalhos extra.
-We're on vacation.                                                                   --- Ah sim...
That's too bad.                                                                       --- É uma pena.
I got a ton of work and no good people.                                               --- E não tenho pessoas competentes. - Não como vocês.
