B                                                                                     --- " B".
Is this guy a lawyer?                                                                 --- Este tipo é advogado?
No.                                                                                   --- Não.
He's an engineer.                                                                     --- É engenheiro.
" United States Code Annotated"                                                       --- " LEIS PENAIS E JURISPRUDÊNCIAS"
Nick, look at this.                                                                   --- Nick, olha para isto.
" Prosecutor Calls Death Penalty For Ames"                                            --- PROMOTOR PEDE PENA DE MORTE PARA AMES
We have zero evidence.                                                                --- Não temos evidências.
You better get a confession.                                                          --- É melhor conseguir uma confissão.
Did he give you any trouble on the way in?                                            --- Ele causou problemas quando foi preso?
No.                                                                                   --- Não.
Nothing.                                                                              --- Nada.
He wasn's too happy when we took his bracelet though.                                 --- Mas não ficou contente quando o algemámos.
Can I help you?                                                                       --- - Posso ajudá-lo?
- Package for the Rice family.                                                        --- - Pacote para a família Rice. Ok.
Oh yeah.                                                                              --- Obrigada.
Mom, the video from my recital came.                                                  --- Mãe, o vídeo do recital chegou.
Can we watch it?                                                                      --- Podemos vê-lo? Por favor?
Please?                                                                               --- Não.
No, not you.                                                                          --- Não és tu. Não.
No. Denise, we said we would wait for your father, remember?                          --- Disse que veríamos com o pai, lembras-te?
Please?                                                                               --- - Por favor?
- No, not now.                                                                        --- - Não, agora não.
Uhum. Yes                                                                             --- Sim.
Mommy                                                                                 --- Mãe!
Don't worry, he's just disarming the guy.                                             --- Não se preocupem, vai só preparar o tipo.
Letting him feel easy.                                                                --- Fará com que ele fique mais à vontade.
What I'm about to tell you I dont want anyone to hear.                                --- O que vou dizer-lhe não quero que ninguém mais ouça.
As a prosecutor Im breaking all the rules right now, and I dont give a damn.          --- Como promotor, estou a quebrar todas as regras. E não estou nem importado.
Because Im a father, I have a little girl. And what you did                           --- Pois como pai, tenho uma menina e o que fez, felicito-o!
The world is better without Darby and Ames.                                           --- O mundo é melhor sem Darby e Ames.
You're not gonna see a tear shed from me or anybody in my office.                     --- Ninguém vai chorar por eles.
With that being said, I have a job to do.                                             --- Tendo dito isto, tenho um trabalho a fazer.
I want to ask you some very simple and direct questions,                              --- Vou fazer perguntas muito simples e directas.
I suggest that you answer them in the same fashion.                                   --- Sugiro que me responda da mesma forma.
Is your name Clyde Alexander Sheldon?                                                 --- Sou nome é Clyde Alexander Sheldon?
Yes, Sir.                                                                             --- Sim, senhor.
And you wave your right to councel, correct?                                          --- E prescinde do seu advogado, certo?
Yes, Sir.                                                                             --- - Sim, senhor.
You sure you wanna do that?                                                           --- - Tem certeza disso?
Yes.                                                                                  --- Sim.
Did you murder Clarence Darby?                                                        --- Matou o Clarence Darby?
I wanted him dead.                                                                    --- Eu queria-o morto.
He killed my wife and child.                                                          --- Ele matou minha mulher e filha.
Rupert Ames, did you murder him aswell?                                               --- Rupert Ames, também o matou? Rupert Ames mereceu morrer.
Rupert Ames deserved to die. They both deserved to die.                               --- Os dois mereceram morrer.
So, you arranged both of those murders?                                               --- Então preparou os dois assassinatos.
Yes, I planned it, in my head, over and over again, took me a long time.              --- Sim, planeei-os na minha cabeça, várias e várias vezes. Levou muito tempo.
Alright.                                                                              --- Está bem.
I guess we are done here.                                                             --- Acho que terminámos. Advogado.
You might want to cancel your 12: 30 lunch with judge Roberts.                        --- Talvez queira cancelar seu almoço das 12h30 com o juiz Roberts.
Excuse me?                                                                            --- O quê?
In fact, you might want to cancel the rest of the week cause you're gonna be busy.    --- Na verdade, talvez queira cancelar a semana toda, pois estará ocupado.
Sit down.                                                                             --- Sente-se.
We're done here.                                                                      --- Terminámos.
We have your confession.                                                              --- Temos a sua confissão. - Têm mesmo?
Oh, you do?                                                                           --- - Sim, gravado.
- And on tape. See, in our profession we consider that a" slam dunk"                  --- Na nossa profissão é o que chamamos de presa fácil.
Oh, really?                                                                           --- É mesmo?
I dont think so.                                                                      --- Não acho.
Lets think back.                                                                      --- Vamos relembrar.
What did I say?                                                                       --- O que é que eu disse?
That I wanted to kill Clarence Darby?                                                 --- Que queria matar Clarence Darby?
Yeah, sure, what father wouldn't?                                                     --- Sim, claro, que pai não gostaria?
That Darby and Ames deserved to die?                                                  --- Que Darby e Ames mereciam morrer?
I think most people would agree with that.                                            --- Acho que a maioria das pessoas concordariam com isso.
That I planned it over and over again, in my head?                                    --- Que planeei várias vezes na minha cabeça?
Yeah.                                                                                 --- Sim. Quem não fantasiaria sobre isso?
Who wouldnt fantasize about that? None of these are an admission of guilt, Nick.      --- Nada disso é admitir culpa, Nick.
You might wanna check the tape.                                                       --- Talvez queira rever a gravação.
We know you did it.                                                                   --- - Sabemos que foi você.
- Well it's not what you know, it's what you can prove in court.                      --- - Não é o que sabe mas o que pode provar em tribunal!
Didn't you tell me that once?                                                         --- Não me disse isso uma vez?
The only problem with your theory is that Darby's body was found on your property.    --- O único problema é que o corpo de Darby foi encontrado na sua propriedade.
One of my many properties.                                                            --- Uma de várias propriedades.
An old abandoned warehouse, Nick.                                                     --- Velha e abandonada, Nick.
Junkies, they trespass there all the time.                                            --- Os drogados invadem constantemente esses lugares.
Isn't Darby involved in the drug trade?                                               --- O Darby estaria envolvido com drogas?
That's an unsavory world.                                                             --- É um mundo repulsivo, aposto que o júri vai concordar.
I bet you a jury would agree, or perhaps someone was trying to frame me.              --- Ou talvez alguém estava a tentar culpar-me. Sabe?
There's a lot of assholes in prison that thought they were smarter than me.           --- Havia muitos idiotas na prisão que se achavam mais espertos do que eu.
Let's stop fucking around.                                                            --- Chega dessa merda.
Nick, unless you have any hard evidence, then why are we even here?                   --- Nick, a menos que tenha provas concretas, porque estamos aqui?
Why are we having...                                                                  --- - Por que conversamos?
- What you want?                                                                      --- - O que quer?
Well, thats easy.                                                                     --- É simples.
You're the one that makes deals with murderers, yeah?                                 --- É você que faz acordos com assassinos, não é?
So I've come to make mine.                                                            --- Então quero fazer o meu.
I will give you a confession, a real confession.                                      --- Darei a minha confissão, uma confissão verdadeira.
You just have to give me something in return.                                         --- Só terá que dar-me algo em troca.
Well, you are a murderer, so what might that be?                                      --- Bem, já que é assassino, o que seria isso?
A bed.                                                                                --- Uma cama.
But a nice bed.                                                                       --- Uma boa cama.
I want a nice new one for myself.                                                     --- Quero uma nova para mim. Está bem?
I see. You're gonna have to deal with that, because the one I have is lumpy, Nick, it's making me crazy. --- Terá que lidar com isso, pois a que tenho é dura, Nick.
Clyde, I think you got me confused with the detail people, see I dont deal with prison conditions. --- Clyde, acho que me confundiu com outra pessoa. Não negoceio condições para prisioneiros.
I believe those cots are bolted into the cells.                                       --- Acho que as camas são aparafusadas às celas.
Well that's what wrenches are for, dumbass.                                           --- Para isso servem as chaves inglesas, idiota.
You know one of those new Duxiana beds with the adjustable lumbar support             --- Sabe aquelas novas com ajuste para as costas? - Suporte ajustável?
I've seen the commercial.                                                             --- - Eu vi o anúncio.
That's the one I want.                                                                --- - É destas que quero.
- Those are nice.                                                                     --- - São boas.
Cause really, Nick, I dont think I can focus on much of anything until I've had a good, revitalizing nights sleep, in my therapeutic Duxiana bed. --- Pois acho que não posso concentrar-me... em nada sem uma boa e revitalizante noite de sono, na minha nova cama terapeutica.
So that's the deal.                                                                   --- Esse é o acordo.
Give me my bed, you get your confession.                                              --- Consiga a minha cama, e terá a sua confissão. Está bem.
Let me think about that for a second.                                                 --- Deixe-me pensar um segundo.
How about uhm...                                                                      --- Que tal... Merda nenhuma.
Hey. - What are you doing?                                                            --- O que estás a fazer?
What do you mean what am I doing?                                                     --- - O que estou a fazer, o quê?
Why did you tell him no?                                                              --- - Porque lhe disseste que não? Um colchão?
- A mattress? He doesn't make those kind of decisions.                                --- Ele não decide esse tipo de coisas.
Take your ego out of it, Nick.                                                        --- Tira o teu ego disso, Nick.
Shelton's got a point, this case is shit, we need a confession and a mattress for a murder confession, thats a pretty good deal --- Ele tem razão, o caso é uma merda. Precisamos da confissão, e um colchão para tê-la-é um óptimo acordo!
He's playing us, Jonas.                                                               --- - Está a brincar connosco.
- Well then we will play him.                                                         --- Então brincaremos com ele.
Nick. Call from the office.                                                           --- Nick, ligaram do escritório.
You're not answering your cell.                                                       --- Não estás a atender o teu telemóvel.
I need to finish up here, and then I will be home as soon as I can. - Listen to me, that video --- Vou terminar aqui e volto assim que puder.
Nick, I have never seen anything like it.                                             --- Ouve, não estás a entender. É real, vem para casa.
Please, come home. Listen, you need to calm down tell her its not real.               --- Tens de te acalmar e dizer-lhe que não é verdade.
And that I love her.                                                                  --- - E que a amo.
Come home. Come home soon please.                                                     --- - Vem para casa depressa.
Kelly, did you see his face?                                                          --- A Kelly viu o rosto dele?
No, it was covered with something, I couldnt see.                                     --- Não, estava coberto. Não pude ver.
let me finish up here and I will come home.                                           --- Vou só acabar aqui e vou para casa o mais rápido que puder, tá?
Okay.                                                                                 --- Está bem.
This motherfucker sent a DVD to my house, of him killing Darby.                       --- Esse filho da mãe mandou um DVD para minha casa... - dele a matar Darby.
- What?                                                                               --- - O quê?
My daughter saw it.                                                                   --- A minha filha viu.
He recorded it, we've got him.                                                        --- - Gravou? Apanhámo-lo!
- No, he had on a mask we need that confession.                                       --- - Não, estava a usar uma máscara. - Precisamos da confissão.
You still want to bargain with this man?                                              --- - Ainda vai negociar com ele?
The art of the possible, Warden.                                                      --- No que for possível. Faz o acordo.
Back problems, Warden. The worst.                                                     --- Problemas nas costas, é do pior.
You got bigger problems than that.                                                    --- Tem problemas maiores do que isso.
It's the have-nots in here, son.                                                      --- Aqui não é o recreio, filho.
They don't know that I want to be the one have                                        --- Não sei se gostaria de ser o que é diferente.
Turn around.                                                                          --- Vire-se.
I dont think he likes me.                                                             --- Acho que ele não gosta de mim.
Nice bed.                                                                             --- Cama fixe.
Thank you.                                                                            --- Obrigado. É de solteiro.
We can't put Clyde Shelton anywhere, not in a job, not in a city, not even a country. --- Não consigo encontrar Clyde Shelton em lugar algum. Nem empregos, cidades, ou um país.
So I dug a little deeper, and I found something from his missing years, a couple of contract payments, to Clyde, from the Department of Defense. --- Então pesquisei mais fundo e achei algo quando estava em fuga. Dois pagamentos para Clyde, do departamento de defesa.
And his real estate?                                                                  --- - E as propriedades?
- He bought 9 properties under his own name, then he transfered them to some corporation in Panama. --- - Comprou 9 propriedades em seu nome, depois transferiu-as para uma corporação no Panamá.
We can't get to the adresses, lack of reciprocity problems, we are gonna circle back to the farmhouse. --- Não conseguimos os endereços por dificuldades nas informações. - Voltaremos à quinta.
That's a waste of time.                                                               --- - É perda de tempo.
He wanted us to find him there.                                                       --- Ele queria ser encontrado lá.
It's the industrial stuff thats curious.                                              --- As indústrias é que me intrigam.
Alright, I dont care what you have to do, or who you piss off, if we have to invade Panama again, fine. --- Não me importa o que tenhas que fazer ou quem tenhas que irritar, se tiveres que invadir o Panamá novamente, tudo bem,
Clyde is hiding those properties for a reason.                                        --- O Clyde escondeu isso por alguma razão.
Find it.                                                                              --- Descobre-a!
- Got it.                                                                             --- Ok.
Baby, did you leave a crack?                                                          --- - Ela está a dormir?
- Yeah, I left a crack.                                                               --- - Sim.
Night light?                                                                          --- - Com a luz acesa?
- Isn't she too old for that?                                                         --- - Não está velha demais?
Yeah, I left the night light.                                                         --- Sim, com a luz acesa.
Look. I told her that that video wasn't real.                                         --- Ouve, eu disse-lhe que o vídeo não era real.
Some sort of horror film she shouldn't be looking at.                                 --- - Está bem. - Que era... um filme de terror e que não o devia ver. - Está bem.
She'll be okay.                                                                       --- - Ela ficará bem. Sim.
- And you?                                                                            --- E tu? Eu o quê?
- If I'm what, okay?                                                                  --- Ficarei bem? Claro.
Of course.                                                                            --- Não pareço bem?
Nick is always okay.                                                                  --- O Nick está sempre bem.
Always, I'm extra good.                                                               --- Sempre muito bem.
In light of Mr Sheltons economic means and his, potential flight risk, the egregious nature of both --- Devido às finanças do Sr. Shelton, à sua potencial fuga, e à forma das mortes do Sr.
Mr Ames´ and Mr Darbys deaths                                                         --- Ames e do Sr.
The state requestst hat bail be denied, your honor.                                   --- Darby, o Estado solicita que a fiança seja negada, Excelência.
Seeing as you waved your right to counsel, Mr Sheldon, do you have anything to say?   --- Vendo como olhou para o advogado, Sr. Sheldon, tem algo a dizer? Sr.
Mr Sheldon?                                                                           --- Sheldon? Há algo que queira dizer?
Do you have anything that you'd like to say? Yes, yes, your honor.                    --- Sim, sim, excelência.
Should I stand?                                                                       --- Devo levantar-me? Por favor.
Your honor, I'm a law abiding citizen.                                                --- Excelência, sou um cidadão que respeita as leis.
Just a regular guy.                                                                   --- Um tipo comum.
I'm not a flight risk                                                                 --- Não sou um possível fugitivo.
This is my first alleged offense, and the prosecution has not presented one single piece of evidence against me. --- Sou réu pela primeira vez, e a acusação não mostrou nenhuma prova contra mim.
Now, in these circumstances, unless the state has obtained some new information relating to my involvement in the matter, then I find it highly prejudical, even constitutionally offensive, to keep me detained without bail. --- Sob estas circunstâncias, a menos que o Estado tenha novas informações sobre meu envolvimento no assunto, então seria muito prejudicial, até mesmo ofensivo à constituição, manter-me preso sem fiança.
It's a slippery slope, your honor,                                                    --- É como Iançar-se no poço, excelência.
Haven't we seen the result of such violations both internationally and domestically, case in point, would be Dave v McDonough doc# 0413825 --- Já não vimos o resultado para violações como esta, aqui e no estrangeiro? Casos como em Dave contra McDonough número 0413825.
I am actually inclined to agree with you, Mr Shelton.                                 --- Estou tentada a concordar consigo, Sr. Shelton. Meritíssima, o Sr.
Your honor, Mr Shelton has agreed to give a confession.                               --- Shelton concordou em dar-nos uma confissão completa. - E ele já o fez, Sr.
Has he given it, Mr Rice?                                                             --- Rice? - Não, Excelência.
Well, then in my opinion the state has failed to establish a compelling basis for its motion, and I will grant bail in the amount of... --- Então na minha opinião o Estado falhou em juntar provas para suporte desta moção, e fixarei a fiança em...
Your honor, I will caution you not to do that.                                        --- Meritíssima, aconselho não fazer isso.
Thank you.                                                                            --- - Obrigado.
- Excuse me?                                                                          --- - Desculpe?
No, I dont think I will excuse you.                                                   --- Não, acho que não a vou desculpar.
You see, this is what I'm talking about.                                              --- É disto que estou a falar.
You were about to let me go,                                                          --- Estava prestes a deixar-me ir.
Are you kidding me?                                                                   --- Está a brincar comigo?
This is why we're here in the first place.                                            --- É por este motivo que estou aqui hoje.
You think I don't remember who you are, lady?                                         --- Acha que não recordo de quem é a senhora é? Seria cuidadoso, Sr.
I would tread carefully, Mr Shelton.                                                  --- Shelton.
Well, how carefully should I tread?                                                   --- Cuidadoso como?
Because apparently I just killed two people.                                          --- Pois "aparentemente" matei 2 pessoas.
And you were about to let me walk right out that door                                 --- E estava prestes a deixar-me sair por aquela porta!
How misguided are you?                                                                --- Quão desorientada está?
I feed you a couple of bullshit legal presedence, and you go jump on it like a bitch in heat. --- Falo de 2 porcarias de precedentes legais, e você agarra-os como uma puta com o cio.
- Im warning you - You folks you all hang out at the same clubs.                      --- - Estou a avisar. - Todos jogam na mesma equipa.
- You will be held in contempt of this court.                                         --- - Ficará preso.
- And everyday you let madmen and murderers Back on the street.                       --- - Todos os dias deixam malucos e assassinos voltarem para as ruas!
You're too busy treating the law - One more time-like if it's a fucking assembly line --- Como uma merda de uma linha de produção.
- One more time - Have you any idea of what justice is?                               --- Tem alguma ideia do que é justiça?
- You are now in contempt of the court - Whatever happened to right and wrong?        --- - Agora está preso. - Onde está o certo e errado?
- Remove this man - Whatever happened to right and wrong!?                            --- O que aconteceu com o certo e errado?
Whatever happened to the people.                                                      --- O que aconteceu com as pessoas?
Bail denied! - Bail denied!                                                           --- - Fiança negada!
- Whatever happened to justice?                                                       --- - Onde está a justiça?
And I bet you take it up the fucking ass!                                             --- Aposto que tirou essa do seu rabo! - Puta.
Bitch. - Bailiff                                                                      --- - Oficial.
See you later, Nick.                                                                  --- Vejo-o mais tarde, Nick. Insanidade?
That's what you're building your defense on?                                          --- É assim que fará a sua defesa? Insanidade?
Nick, I told you I would give you a confession.                                       --- Nick, disse que lhe daria a minha confissão.
And I meant it.                                                                       --- E disse a verdade.
I saw a movie today.                                                                  --- Vi um vídeo hoje.
- You did?                                                                            --- - Viu?
My daughter, saw the same movie.                                                      --- - A minha filha, viu o mesmo vídeo.
Well, you taught your daughter about good vs evil?                                    --- Ensinou a sua filha sobre o bem contra o mal?
I dont have to.                                                                       --- Não preciso.
Well that's what this movie was about.                                                --- É disso que trata o vídeo.
Good conquering Evil.                                                                 --- O bem a vencer o mal.
The righteous prospering, the wicked suffering.                                       --- O justo a prosperar, o malvado a sofrer.
- I didn't get that.                                                                  --- Não achei isso.
I'm gonna give you one more chance, Clyde.                                            --- Vou dar-lhe mais uma hipótese, Clyde.
And dont test me, cause I will run you over.                                          --- E não me teste, senão destruo-o.
Fair enough.                                                                          --- Justo.
You did get me my bed.                                                                --- Conseguiu a minha cama. E um acordo é um acordo.
A deal's a deal. That was you on video, killing Clarence Darby.                       --- Era você no vídeo a matar Clarence Darby, não era?
Yes, that was me.                                                                     --- Sim, era eu.
Fair enough.                                                                          --- É justo.
That was me, Clyde Shelton, on the video, killing Clarence Darby.                     --- Era eu, Clyde Shelton, no vídeo,
- Not good enough, Clyde,                                                             --- - a matar o Clarence Darby. - Não é suficiente, Clyde.
I need specifics.                                                                     --- Preciso de detalhes.
I took his fingers with bolt cutters.                                                 --- Arranquei os dedos da mão com um alicate.
His toes with tin snips.                                                              --- Os dedos dos pés com uma tesoura.
His balls with a hack saw.                                                            --- Os testículos com um serrote.
And his penis with a box cutter.                                                      --- E o pénis com um estilete.
How's that for specifics?                                                             --- Que tal estes detalhes?
And Ames?                                                                             --- E o Ames?
Switching the canisters was easy.                                                     --- Trocar os tubos foi fácil.
Everything is automated these days, so I just hacked in to the shipping companies server and swapped a few numbers around so the package came to me. --- É tudo automático ultimamente, então apenas invadi o servidor do fornecedor, troquei alguns números, e recebi os pacotes.
Then I switched the potassium chloride for something a little more... deliberate.     --- Então substituí o cloreto de potássio por algo mais... interessante.
Well, I'm tired of hearing your bullshit.                                             --- Fartei-me de ouvir os seus disparates.
I got everything I need.                                                              --- Tenho tudo que preciso. - E agora?
What now? - I go home. You go to prison.                                              --- - Vou para casa, e você vai para a prisão.
The righteous prosper and the wicked suffer.                                          --- Sabe?" O justo a prosperar, o malvado a sofrer".
That ought to make you feel better about the system.                                  --- Deveria ter pensado melhor sobre o sistema.
What if I had another confession to make?                                             --- E se eu tiver outra confissão a fazer?
Call a priest.                                                                        --- Chame um padre.
But another confession would mean another deal, Nick, so you would have to give me something in return. --- Mas outra confissão representa outro acordo, então tem que dar-me algo em troca.
You ever been to Del Friscos?                                                         --- Já esteve no Del Friscos? Eles fornecem comida.
They cater. So for lunch I would love a 20 ounce porter steak, medium, maybe a little charred. --- Para o almoço quero um bife de 500 gramas, no ponto, mais para o bem passado.
With all the trimmings:                                                               --- Com todos os acompanhamentos.
Pommes frites, asparagus, butter-squash.                                              --- Batatas fritas, espargos, creme de abóbora...
- Fuck you and your Pommes frites.                                                    --- Que se lixe você e suas batatas fritas.
I Tell you what. Can I have my Ipod aswell?                                           --- Digo-lhe mais, posso ter um iPod também?
I'd love a little bit of music with my meal.                                          --- Adoraria música durante a refeição.
First rule of negotiating, Clyde, you gotta have something to bargain with.           --- Primeira regra da negociação: é preciso ter algo para se negociar.
Would the life of Bill Reynolds suffice?                                              --- A vida de Bill Reynolds seria o suficiente?
Open it.                                                                              --- Abra.
Who the fuck is Bill Reynolds?                                                        --- Quem diabos é Bill Reynolds? O advogado do Darby.
Tell me you located him.                                                              --- Diga que o encontrou.
- I've got his wife, she reported him missing three days ago.                         --- A esposa dele disse que está desaparecido há 3 dias.
Thank you, Mrs Reynolds.                                                              --- Obrigada, Sra. Reynolds.
Looks like I got something to bargain with, Nick.                                     --- Parece que tenho algo mais para negociar, Nick.
At the moment, Bill Reynolds is still alive.                                          --- Neste momento, Bill Reynolds ainda está vivo.
I'll tell you exactly where he is, just bring me my meal and my music, at 1 o'clock exactly. --- Direi exactamente onde ele está. Traga só a minha refeição e o meu iPod exactamente às 13h.
1 o'clock sharp.                                                                      --- À uma hora em ponto.
1 o'clock, Nick.                                                                      --- Uma hora, Nick.
Hold it right there.                                                                  --- Pára aí!
It's five to 1 pm.                                                                    --- São 12h55!
I dont take orders from him, or you.                                                  --- Não recebo ordens dele nem de si.
Iinmates dont know the time, we tell them the time.                                   --- Os prisioneiros não sabem as horas, nós dizemos as horas.
I dont care, we need to stick to the agreed timeline.                                 --- Não me importa se ele tem um Rolex ou não, temos que fazer na hora do acordo.
- Fuck him, Nick. Let him wait.                                                       --- Que se lixe, Nick, deixa-o à espera.
Christ, he sawed the guys dick off.                                                   --- Ele fatiou o pénis do tipo.
Whether you like it or not, we are on his time.                                       --- Gostando ou não, ele exigiu uma hora.
Check it again.                                                                       --- Verifiquem novamente.
Steamed Asparagus.                                                                    --- Espargos cozidos. - Nossa!
Macaroni and cheese.                                                                  --- - Macarrão com queijo.
- Wow Porter house steak, seared, medium rare.                                        --- Bife da casa, temperado, ao ponto.
Napkin, Nick.                                                                         --- - Guardanapos, Nick. - Guardanapos.
Oh, excuse me, waiter                                                                 --- Com licença, empregado!
You might wanna put 30% down for yourself, my man                                     --- Ponha para si 30% de gorjeta, meu amigo.
What time is it?                                                                      --- - Que horas são?
- 1 o'clock.                                                                          --- - 1h.
Is that right, Nick?                                                                  --- - É isso mesmo, Nick?
- It's 1: 08.                                                                         --- - 1h08.
Well that's dissapointing, Warden.                                                    --- É desapontante, Director.
How can you expect me not to fuck with you when you cant even be honest with me       --- Como espera que eu não os lixe quando não conseguem ser honestos comigo?
You have what you asked for, now where's Reynolds?                                    --- Tem o que pediu, agora onde está Reynolds? Poderia ter talheres, cavalheiros?
You get a spork.                                                                      --- Tome uma colher.
Thanks.                                                                               --- Obrigado.
Come on, Clyde.                                                                       --- Vamos, Clyde.
Okay.                                                                                 --- Muito bem.
Here we go.                                                                           --- Vamos lá.
39 degrees, 57 minutes, 4 seconds, north.                                             --- 39 graus, 57 minutos, 4 segundos, norte.
75 degrees, 10 minutes, 22 seconds, west.                                             --- 75 graus, 10 minutos, 22 segundos, oeste.
You better hurry, Nick.                                                               --- É melhor correr, Nick.
By anybodys watch but the Wardens, you're already late.                               --- Devem ir rápido, pois já estão atrasados.
Open the door.                                                                        --- - Abram a porta!
I'll sit in front of you.                                                             --- Vou sentar-me à frente.
So, I suppose if I dont share this with you                                           --- Imagino que se não compartilhar contigo...
I'm gonna get the fuck up, take my right hand, and split your skull in two, how about that? --- Vou arrebentar com tudo. Vou usar a minha mão direita, e partir-te as costelas ao meio, o que achas? Vem!
Come on over here, join me                                                            --- Acompanha-me.
There's plenty to go around.                                                          --- Há bastante para os dois.
Enjoy it.                                                                             --- Aproveita a massa.
Pasta.                                                                                --- É boa.
It's good.                                                                            --- E o Bife?
What about some steak?                                                                --- Queres bife? - Parece bom, mesmo.
You like steak?                                                                       --- - Um bom pedaço para ti.
Big piece for you. There you go.                                                      --- Ai está.
Good, huh?                                                                            --- Bom, não é?
What did you do to get in here, anyways?                                              --- O que fizeste para estares aqui?
I did what I had to do.                                                               --- Fiz o que tinha que fazer.
So you got a girl or something?                                                       --- Então, tens namorada ou algo assim?
It's a long story.                                                                    --- É uma longa história.
Pilot, how much longer?                                                               --- - Piloto, quanto tempo? - Tempo estimado em 2 minutos.
- ETA 2 minutes                                                                       --- Seguindo para as coordenadas.
How about you? Have a girl?                                                           --- E tu, tens namorada?
Got a few broads back home.                                                           --- - Algumas miúdas onde moro.
- Oh yeah?                                                                            --- - Ai é?
You don't have a boyfriend in here right now?                                         --- Não tens um namorado aqui?
Get the fuck out of here.                                                             --- Chega-te para lá, porra!
It's his.                                                                             --- É dele.
His briefcase.                                                                        --- Eu sei.
Just dig.                                                                             --- - Vamos cavar, Nick? - Cava.
Jesus Christ.                                                                         --- - Jesus Cristo. - Reynolds! - Está inconsciente.
- Reynolds!                                                                           --- - Reynolds! Está morto, Nick.
Reynolds!                                                                             --- Está morto.
- Oxygen?                                                                             --- Oxigénio?
Get something to get him out.                                                         --- Tragam algo para o tirar.
IV lines going to his... Fuck.                                                        --- Há algo na veia dele, e deixou-o algemado.
He's got him cuffed. You got your keys? To the cuffs.                                 --- Tens as chaves das algemas?
It's your lucky day, huh?                                                             --- É o teu dia de sorte, não é?
Get some food.                                                                        --- Já comeste.
Here, take a shot at this.                                                            --- Olha para isto.
I need a shower, Warden.                                                              --- Preciso de um banho, director. Tira-o daí!
Dunningan, what time do you have?                                                     --- Dunningan, que horas são?
I'm 1: 37.                                                                            --- 13h37.
Took us roughly 15 minutes to get here.                                               --- Gastámos uns 15 minutos para chegar aqui.
Yeah.                                                                                 --- Sim.
Reynolds air was rigged to shut off at 1: 15 If Shelton had his lunch on time he'd still be alive. --- O oxigénio foi programado para desligar às 13h15, se Shelton almoçasse na hora, talvez ainda estivesse vivo.
Fuck this guy, Nick.                                                                  --- Ele que se lixe, Nick.
He wants to play games, we can play games too.                                        --- Se ele quer brincar, nós também podemos brincar.
We need to take the gloves off.                                                       --- Temos de tirar as luvas.
Hey Nick, it's Sarah.                                                                 --- Nick, é a Sarah.
Listen. Clyde murdered his cellmate.                                                  --- O Clyde matou o colega de cela.
Warden is furious, he's moving him to solitary.                                       --- O director está furioso, vai pô-lo na solitária.
That's all I know right now.                                                          --- Por enquanto, é tudo o que eu sei.
Found Reynolds.                                                                       --- Encontrámos o Reynolds.
Well, it was too late, you are here.                                                  --- Chegaram tarde demais, não foi?
I had to call his wife and tell her that her husband had been buried alive.           --- Tive de ligar à esposa dele e dizer que o marido foi enterrado vivo.
Well, justice should be harsh, Nick.                                                  --- A justiça tem que ser feita, Nick.
Especially for those who denied it to others.                                         --- Especialmente para aqueles que a negaram para outros.
And your cellmate, what was that about?                                               --- E seu colega de cela, porque fez aquilo?
You murdered a man because your lunch was late.                                       --- Matou um homem porque o seu almoço se atrasou.
No.                                                                                   --- Não.
No.                                                                                   --- Não.
No, you murdered him because you couldn't keep your word.                             --- Não, você matou-o porque não manteve a sua palavra.
We made a deal you and I, 1: 00 pm.                                                   --- Fizemos um acordo, você e eu: uma da tarde.
Now that's an important principle I'd like you to learn, Nick.                        --- Há um princípio importante que gostaria que aprendesse, Nick.
Keeping your word.                                                                    --- - Mantenha sua palavra. - Ai é?
- Oh, really? Well, what principle was at work when you tortured and killed those people? --- Que princípio usou quando torturou e matou aquelas pessoas?
That everyone must be held accountable for their actions.                             --- Todos devem ser responsabilizados pelas suas acções.
You think your wife and daughter would feel good about you killing in their name?     --- Acha que sua esposa e filha se sentiriam bem sabendo que está a matar em nome delas?
My wife and daughter can't feel anything.                                             --- A minha esposa e filha não podem sentir nada.
They're dead.                                                                         --- Estão mortas.
Hey, Nick.                                                                            --- Hei, Nick.
On Clydes real estate, judge Stansfeld shut us down.                                  --- No caso Clyde, o juiz Stansfeld lixou-nos.
He's looking for some legal precedent Im not sure exists.                             --- Está à procura de um precedente legal que acho que não existe. - Mas?
- But, I think I may have found a way around him, I'm gonna call in a favour from a friend. --- - Mas, acho que descobri como contorná-lo, - pedirei um favor a um amigo.
- Who's your friend?                                                                  --- - Quem é o teu amigo?
You don't name your friends or they stop doing favours.                               --- Não se dá o nome dos amigos ou param de fazer favores.
Something else Cantrell said?                                                         --- - Cantrell disse mais alguma coisa?
- No, thats all you.                                                                  --- - Não, só isto.
Jonas.                                                                                --- Jonas, olá.
She's thinking just like you, Nick.                                                   --- Ela pensa como tu.
Guess you trained her well.                                                           --- Acho que a treinaste bem.
One day she'll have my job.                                                           --- - Um dia ela terá o meu emprego.
- Let's get some air.                                                                 --- - Vamos apanhar ar.
Clydes government contract payments were bothering me, I pulled some old strings.     --- Os pagamentos do governo para Clyde estavam a incomodar-me, então usei contactos antigos.
We're meeting someone.                                                                --- Encontrar-nos-emos com alguém.
Who might that be?                                                                    --- E quem seria?
Someone who does some really nasty shit so we can live the american dream.            --- Alguém que faz coisas terríveis para vivermos o sonho americano.
