You got him!                                                                          --- Apanhaste-o!
What was I supposed to do, just put him in over his head, not protect him?            --- Pô-lo acima das suas capacidades? Não protegê-lo?
Oh, you were protecting him from the championship?                                    --- Ah, estavas a protegê-lo do campeonato. - Sim.
Yeah.                                                                                 --- - Agora faz sentido.
Oh, well, now it makes sense. Well, what about you, Scrap?                            --- E tu, Scrap?
What did your manager do?                                                             --- O que foi que o teu empresário fez?
You were a hell of a fighter, a lot better than Willie.                               --- Eras um lutador e tanto. Bem melhor que o Willie.
He get you a title fight or did he just bust you out, banging your head against other people's fists until you lost your eye? --- Arranjou-te um combate pelo título ou... apenas te destruiu lançando-te nos punhos dos outros... até perderes o olho?
I had my shot.                                                                        --- Eu tive a minha chance.
I went out swinging and no man can say I didn't.                                      --- Eu saí a dar porrada por o todo lado... e ninguém pode dizer que não fiz isso. Bem, eu lembro-me.
Yeah, well, I remember. And excuse me if I didn't want my fighter spending the second half of his life cleaning up other people's spit. --- E desculpa por não querer... que o meu lutador passe a outra metade da sua vida... a limpar o cuspo dos outros.
Yeah right.                                                                           --- Ah, certo. Certo.
Right.                                                                                --- Tu és o Sr.
You're the smart one.                                                                 --- Crânio.
You're the one learning Greek.                                                        --- És tu que estás a aprender grego. É gaulês.
It's Gaelic. Well, you just protected yourself out of a championship fight.           --- Bem, acabaste de te proteger de um combate pelo campeonato.
How do you say that in Gaelic?                                                        --- Como se diz isso em gaulês?
Thanks.                                                                               --- Obrigada.
Boxing is an unnatural act, cos everything in it is backwards.                        --- O boxe é um acto não natural. Porque tudo nele é às avessas.
You want to move to the left, you don't step left you push on the right toe.          --- Se te quiseres mover para a esquerda, não dês um passo à esquerda, pressiona o pé direito.
To move right you use your left toe.                                                  --- Para moveres-te para a direita, usas o pé esquerdo.
Instead of running from the pain, like a sane person would do, you step into it.      --- Em vez de fugir da dor, como uma pessoa normal faria, vais na direcção dela.
Oh my God! He hits the champ with a right hand and the champ's down!                  --- O Grande Willie está de volta e, Oh, meu Deus, ele atingiu o campeão com a mão direita e o campeão caiu.
Ladies and gentlemen, the ref has ended the count. And Big Willie Jones is the new champion of the world! --- Senhoras e senhores, a contagem terminou... e o Grande Willie é o novo campeão mundial.
It's unbelievable how this has taken place tonight.                                   --- É inacreditável. O que aconteceu esta noite.
But there you have it folks, a new champion.                                          --- Mas aí está, pessoal. Um novo campeão.
Everything in boxing is backwards.                                                    --- Tudo no boxe é de trás para a frente.
Want a cheeseburger?                                                                  --- Queres um" cheeseburger"?
- You bought me a cheeseburger?                                                       --- - Compraste-me um" cheeseburger"?
- Yeah.                                                                               --- - Sim.
I never seen you buy anybody a cheeseburger.                                          --- Nunca te vi pagares um" cheeseburger" a ninguém.
Well, I couldn't eat it, and I ordered it.                                            --- Bem, não consegui comer e fiz o pedido, queres?
You want it? Well, I guess the planet can go back to spinning.                        --- Acho que agora o planeta pode voltar a girar.
You watch the fight?                                                                  --- - Assististe à luta?
Yeah, I watched it.                                                                   --- - Sim. O Willie saiu-se bem.
Willie did good. That's what you've got to say?                                       --- É isso que tens a dizer?
Well, he won, didn't he?                                                              --- Bem, ele ganhou, não é? Ele saiu-se bem.
I see you been working on yourself, learning to open up.                              --- Estou a ver que andaste a trabalhar em ti mesmo. Aprendeste a te abrir, isso pode dar certo.
That's good work. You watch it?                                                       --- Viste?
Yeah, I got HBO.                                                                      --- Sim, tenho a HBO.
How can you afford HBO?                                                               --- Desde quando tens dinheiro para assinar a HBO?
How long have I been telling you to save your money?                                  --- Há quanto tempo te ando a dizer para economizar?
Ever since I fought Louis" Typhoon" Johnson at the Stadium Club in Tupelo Mississippi. --- Desde que lutei com Louis Typhon e Johnson... no clube do estádio em Tupelo, Mississipi.
That true?                                                                            --- - É verdade? - Sim.
Yeah. Manager ran off and left you and me to hitch home.                              --- O empresário foi-se embora e... deixou-nos ir a pé para casa.
Don't you remember nothing?                                                           --- Não te lembras de nada?
Well, I remember walking halfway, and thinking I was going to be lynched.             --- Bem, eu lembro-me de andar metade do caminho... a pensar que ia ser linchado.
I remember you leaving me with my dick in my hand behind that gas station.            --- Eu lembro-me que me deixas-te agarrado... atrás daquele posto de gasolina.
Yeah, well, I got a ride. The guy took off before I hardly closed the door. I had to walk back two miles. --- Não arranjei boleia nenhuma, o gajo foi-se embora antes de eu entrar e... tive de andar duas milhas a pé.
Your conscience got the better of you, that's what.                                   --- A tua consciência acabou por te ganhar.
What the hell's that?                                                                 --- O que raio é isto?
It's her birthday.                                                                    --- É o aniversário dela.
You're not breathing right.                                                           --- Não estás a respirar como deve ser, por isso estás ofegante.
That's why you're panting.                                                            --- Então é teu aniversário?
So, it's your birthday, huh?                                                          --- Quanto anos fazes?
How old does that make you?                                                           --- 32, Sr.
I'm 32, Mr.                                                                           --- Dunn.
Dunn... and I'm here celebrating the fact that I spent another year scraping dishes and waitressing, what I've been doing since 13. --- Estou aqui a celebrar o facto de passar outro ano... a esfregar pratos e a trabalhar de empregada de mesa. Faço isso desde os 13.
And according to you, I'll be 37'fore I can even throw a decent punch... which after working this speed bag for a month and getting nowhere, --- E segundo você terei... 37 anos antes de poder dar um murro decente. E depois de um mês de treino e a sua opinião, percebo que essa pode ser a pura verdade.
I now realize may be God's simple truth.                                              --- Outra verdade é que o meu irmão está na prisão.
Other truth is, my brother's in prison, my sister cheats on welfare by pretending one of her babies is still alive, my daddy's dead, and my mama weighs 312 pounds. --- A minha irmã recebe pensão... fingindo que um dos seus filhos ainda está vivo. O meu pai está morto e a minha mãe pesa 142 quilos.
If I was thinking straight, I'd go back home, find a used trailer, buy a deep fryer and some Oreos. --- Se eu estivesse a pensar como deve ser, eu... voltaria para a minha terra, comprava uma roulotte usada, comprava uma panela para fritos e umas bolachas...
The problem is, this is the only thing I ever felt good doing.                        --- O problema é que o boxe é a única coisa que me da prazer fazer. Se sou velha demais para isto, então não tenho nada.
That enough truth to suit you?                                                        --- É verdade suficiente para si?
This your speed bag?                                                                  --- Este é o teu saco de rapidez?
Put yours behind the counter.                                                         --- O seu está atrás do balcão, gostava de puder dizer que ajudou.
OK.                                                                                   --- Espera!
Just hold it, hold it.                                                                --- Espera.
I'll show you a few things, and then we'll get you a trainer.                         --- Vou te mostrar algumas coisas... e depois arranjaremos um treinador. Não.
No.                                                                                   --- Desculpe.
Sorry. - You're in a position to negotiate?                                           --- Estás em posição de negociar?
- Yes, sir, because I know if you train me right, I'm going to be a champ.            --- Sim, senhor. Porque sei que se me treinar bem, vou ser campeã.
I seen you looking at me.                                                             --- Eu vi-o a olhar para mim. - Sim. Com pena.
Yeah, out of pity.                                                                    --- - Não diga isso!
Don't you say that!                                                                   --- Não diga isso se não for verdade!
Don't you say that if it ain't true! I want a trainer.                                --- Eu quero um treinador.
I don't want charity and I don't want favors.                                         --- Eu não quero caridade... e nem favores.
If you're not interested, then I got more celebrating to do.                          --- Se não estiver interessado, então tenho mais celebrações pela frente.
Stop, stop, stop.                                                                     --- Pára! Pára! Pára!
Goddamn it, stop.                                                                     --- Maldição, pára!
What the hell are you doing?                                                          --- Que raio estás a fazer?
OK.                                                                                   --- Se eu aceitar...
If I'm going to take you on...                                                        --- Nunca se vai arrepender.
You won't never regret it. Look, just listen to me.                                   --- Olha, ouve-me apenas, se eu te aceitar
- If I take you on...                                                                 --- Prometo que me vou esforçar bastante.
- I promise I'll work so hard.                                                        --- Deus!
God, this is a mistake already.                                                       --- Isso já é um erro.
Mm-mm.                                                                                --- Estou a ouvir, chefe.
I'm listening, boss. If I take you on, you don't say anything.                        --- Se eu te aceitar, não dizes nada, não me questionas,
You don't question me. You don't ask why, you don't say anything except maybe," Yes, Frankie." --- Não perguntas porquê, não dizes nada a não ser, talvez, sim, Frankie.
And I'm going to try to forget the fact that you're a girl.                           --- E eu vou tentar esquecer o facto de seres uma rapariga. É só o que eu peço.
It's all I ask. And don't come crying to me if you get hurt.                          --- E não venhas chorar em cima de mim se te magoares.
- All righty.                                                                         --- - Negócio fechado.
- We got a deal.                                                                      --- Ainda não.
No, not quite.                                                                        --- Vou te ensinar a lutar.
I'm going to teach you how to fight. Then, we'll get you a manager, and I'm off down the road. --- Depois arranjamos um empresário e eu vou-me embora.
I hate to argue with you, but...                                                      --- Odeio discutir com o senhor, mas... Não discutas comigo, só aceito se for assim.
Don't argue, it's the only way we're doing it. I teach you all you need to know, and then you go off and make a million dollars. --- Eu ensino-te tudo o que precisas de saber... e depois arrancas e ganhas um milhão de dólares.
I don't care you get your teeth knocked out, I don't care.                            --- Se perderes os dentes, eu também não me importo. Não quero ouvir nem uma hipótese nem a outra.
I don't want to hear about it either way, that's how it is.                           --- É assim que tem que ser. É a unica maneira de eu aceitar.
Now, one of the things I've noticed around the gym is, you never move your feet.      --- Agora... uma das coisas que notei no ginásio... é que tu nunca mexes os pés.
You stand there just flatfooted.                                                      --- Ficas prostrada no chão como uma estátua.
You've got to move your feet.                                                         --- Precisas de mexer os pés.
That's one of the best things I'm going to be able to teach you.                      --- Esta é uma das melhores coisas que te posso ensinar. Então...
So, here's what you do.                                                               --- Fazes assim.
You get yourself...                                                                   --- Dobra os joelhos um pouquinho.
Bend your knees a little bit. Get in an athletic position.                            --- Entras numa posição atlética.
Look like you're going to hit something.                                              --- Faz como se fosses bater nalguma coisa.
- Move´em how boss?                                                                   --- - Simplesmente...
- Uh, just, you go hit the bag.                                                       --- - Bate no saco.
- Stop. - What'd I do wrong?                                                          --- O que foi que eu fiz de errado?
OK, you did two things wrong.                                                         --- Fizeste duas coisas erradas. Primeira:
One is you asked a question, and two is you asked another question.                   --- Fizeste uma pergunta e segunda: Fizeste outra pergunta.
Now, what I want you to do...                                                         --- Agora... o que eu quero que faças...
It's not about hitting it hard.                                                       --- Não é bater forte... e sim bater bem.
It's how good you hit it.                                                             --- Então...
So, watch me.                                                                         --- Observa...
And you can count with me if you want, just count; on a one count, I hit right through the bag. --- E conta comigo se quiseres, conta um e bate no saco. Podes mostrar-me isso de novo?
- Can you show me that again? - You just... Just say" one," please.                   --- - Apenas diz um, por favor.
- One.                                                                                --- - Ok.
- OK, one.                                                                            --- Um. - Um.
- One.                                                                                --- Ok.
- OK.                                                                                 --- Diz um.
Yeah, just say one.                                                                   --- Bom.
That's good.                                                                          --- Bom.
That's good. Then I move over to my right foot.                                       --- Então mudo-me para o pé direito.
You'll see my weight is shifting to my right foot.                                    --- Estás a ver, o meu peso mudou para o pé direito.
Then I hit it with the back of my hand, sort of like I'm chipping ice with an ice pick. Then I come over, and I shift to my left foot, and I hit it with my right hand. --- Aí bato com as costas da mão, faço a rotação, e depois venho... mudo para o pé esquerdo e bato com a mão direita.
And ice pick maneuver again, and I come over on my right foot and hit it right, left. --- E faço o movimento de novo. Vou para o pé direito. e mudo para o esquerdo.
Just do it like that.                                                                 --- Faz assim.
Just keep practicing.                                                                 --- Fica a praticar.
Need to show´em how to stand, keep their legs under their shoulders.                  --- Ele mostrou-lhe como ficar em pé. Mantendo as pernas alinhadas com os ombros.
To make a fighter, you got to strip´em down to bare wood.                             --- Para criar um lutador, - é preciso dar o máximo.
Rest when you're dead.                                                                --- - Descansa um pouco.
Come here.                                                                            --- Vem cá.
You can't just tell´em to" forget everything you know."                               --- Não podes apenas dizer para esquecer tudo o que sabes,
You got to make´em forget it in their bones.                                          --- Sabes que eles têm que esquecer até os ossos.
Left uppercut, left, left.                                                            --- Torná-los tão cansados que só te ouvirão a ti.
Make´em so tired they only listen to you, only hear your voice, only do what you say and nothing else. --- Só ouvem a tua voz. Só fazem o que mandas e mais nada.
Move your feet. Move your feet around.                                                --- Move os pés.
Show´em how to keep their balance and take it away from the other guy.                --- Mostrar-lhes como manter o equilíbrio, e tirá-lo ao oponente.
Look at me. Right hook and just turn right over...                                    --- Levanta a mão.
How to generate momentum off your right toe and how to flex your knees when you fire a jab. --- Como gerar impulso com o dedo direito do pé. E como flectir os joelhos quando se solta um" jab".
How to fight backing up, so that the other guy doesn't want to come after you.        --- Como lutar afastando-se... de modo a que o oponente não queira vir para cima de ti.
Then you got to show´em all over again-over and over and over till they think they were born that way. --- E depois tens que mostrar tudo de novo. E de novo. E de novo.
OK, that's enough for today.                                                          --- Já chega por hoje. Bom trabalho.
Good work. Good girl.                                                                 --- Boa.
Think I'm ready for a fight, boss?                                                    --- Acha que estou pronta para um combate, chefe?
Hey. Hey come here.                                                                   --- Ei, vem cá.
You're not breathing.                                                                 --- Não estás a respirar.
Hate to disagree with you.                                                            --- Odeio discordar de si.
Every time you get under pressure, you're holding your breath.                        --- Todas as vez que ficas sob pressão, prendes a respiração. Pára de fazer isso!
Now, stop doing that.                                                                 --- Ok.
OK. But other than that, I'm doing pretty good, right?                                --- Mas tirando isso, estou muito bem, certo?
I mean, for a girl.                                                                   --- Quer dizer, para uma rapariga. Eu não treino raparigas.
Think I might be ready for a fight, boss?                                             --- Acha que estou pronta para um combate, chefe?
Well, we'll get a manager, and we'll find out, won't we?                              --- Vamos arranjar um empresário e descobrir, certo?
I'd like to, but you've been keeping me too busy.                                     --- Eu gostava, mas não me dá uma folga.
Got any family, boss?                                                                 --- - Tem família, chefe? - O quê?
You been spending all this time with me.                                              --- Passa o tempo todo comigo, eu não sabia se tinha.
I didn't know if you had any. No.                                                     --- Não.
Well, I've got a daughter - Katy.                                                     --- Bem, eu tenho uma filha, Katie. Isso é família.
That's family. We're not exactly close.                                               --- Não somos exactamente chegados.
How much she weigh?                                                                   --- Quanto é que ela pesa? O quê?
What? Trouble in my family comes by the pound.                                        --- Os problemas na minha família medem-se pelo peso.
Yeah. Not very big.                                                                   --- Ela não é muito grande.
Used to be real athletic.                                                             --- Ela era muito atlética.
Don't know if she kept it up.                                                         --- Não sei se se manteve.
So what do you think?                                                                 --- Então... O que é que achas?
Am I ready for a fight?                                                               --- Estou pronta para um combate?
Hey, Sally.                                                                           --- Ei, Sally.
Come here for a minute, will you?                                                     --- Vens aqui um minuto?
Frankie, I need to see you in the back for a minute, OK?                              --- Frankie... eu não te vi dali de trás, ok? Um minuto.
Can I see you a minute? Sally here is a real good manager.                            --- Sally é um bom empresário.
Has a couple Golden Glove boys.                                                       --- Ele tem dois rapazes que são Luva de Ouro.
Looking for a girl, Sally?                                                            --- Estás à procura duma rapariga, Sally?
I'm looking for a good one.                                                           --- Sim, se for boa.
Well, see, there you go.                                                              --- Estás a ver. Aí está.
Nice working with you, girlie.                                                        --- Foi bom trabalhar contigo.
- What'd you want?                                                                    --- - O que é que queres?
- Nothing.                                                                            --- - Nada.
I ain't lying I been watching you work.                                               --- Chiça! Vi-te a trabalhar. Tens uma esquerda e tanto.
You've got a hell of a left.                                                          --- Obrigada.
So, you want to give this a try, see if it's a fit?                                   --- Queres tentar? Ver se encaixa?
Yeah, sure.                                                                           --- Sim, claro. Bom.
Good... cos I think you're ready for a fight.                                         --- Porque acho que estás pronta para um combate.
Break!                                                                                --- Separem-se.
What am I doing wrong, Sally?                                                         --- O que estou a fazer de errado, Sally?
Every time I get inside, she's on me.                                                 --- Todas as vezes que eu me aproximo, ela parte para cima de mim.
You're doing great.                                                                   --- Estás a ir muito bem,
You're wearing her down.                                                              --- Estás a minar, continua a dar murros.
Just keep punching. I ain't doing great.                                              --- Não estou a ir bem, estou a perder.
I'm losing.                                                                           --- Estás a minar!
Nice night, ain't it?                                                                 --- Bela noite, hein?
Jesus Christ.                                                                         --- Jesus Cristo!
That's Lonnie Washington's girl.                                                      --- Aquela é a rapariga do Loney Washington. Ela luta muito bem.
Hell of a fighter.                                                                    --- Onze combates no total.
11 and 0. Your left.                                                                  --- A tua esquerda.
Keep your left up.                                                                    --- Mantêm-na para cima!
Lonnie's got a lot of good fighters.                                                  --- O Loney tem muitas lutadoras boas. Ele tem a Joey Odaggio,
He's got Joey Adagio, lightweight champ.                                              --- - Campeã dos leves. - Sim.
Yeah.                                                                                 --- A esquerda, maldição!
Your left, damn it!                                                                   --- Não seria a minha escolha para um primeiro combate, mas...
Wouldn't have been my choice for a first fight, but Sally's a good manager.           --- Sally é um bom empresário... ele deve achar que ela dá conta.
He must think she can take her.                                                       --- Jesus Cristo!
Jesus H, your left!                                                                   --- A esquerda. Mantêm-na erguida.
Keep your left up! You think she can hear you from back here?                         --- Achas que ela te ouve daqui?
Of course, if Maggie loses, it wouldn't mean anything to Sally.                       --- Claro que... Se a Maggie perder, isso não significa nada para o Sally. Pode até mesmo ajudá-lo.
Might even help him. Lonnie's girl gets another win,                                  --- Se o Loney tiver outra vitória, o Loney pode deixar a peso leve do Sally...
Lonnie might let Sally's lightweight fight Joey Adagio for the title.                 --- lutar contra a Joey Odaggio pelo título.
Sally's trying to set a fight with Adagio?                                            --- Sally está a tentar arranjar uma luta com Odaggio? Ei, o que eu sei?
Hey, what do I know?                                                                  --- Eu só venho porque gosto dos combates.
I just come cos I enjoy the fights.                                                   --- Mãe de Deus!
OK, break!                                                                            --- Separem-se. Ei, vem cá.
Hey get over here!                                                                    --- Ei, vai-te embora!
You're dropping your left hand. Quit dropping your left hand.                         --- Estás a baixar a mão esquerda, pára de fazer isso.
Hey, Frankie, you mind if I talk to my fighter?                                       --- Ei, Frankie, importas-te que eu fale com a minha lutadora? Estás a fazer um belo trabalho, Sally.
You're doing a hell of a job of it. Is this how you advise your lightweight?          --- É assim que aconselhas a tua peso-leve?
Dunn, what the hell are you doing?                                                    --- Dunn? O que raio estás a fazer?
- I'm talking.                                                                        --- Estou a falar e tu?
What you doing?                                                                       --- - Ela é sua lutadora?
- This your fighter?                                                                  --- - Ela é minha lutadora.
It's my fighter!                                                                      --- Não estás a encaixar bem, Sally.
It ain't fitting real well, Sally.                                                    --- Ok. Fica com ela.
Fine. You take her.                                                                   --- Ela não consegue lutar de qualquer forma.
She can't fight worth a shit, anyway.                                                 --- Alguém pode dizer-me o que é que está a acontecer?
Somebody tell me what's going on. I was late.                                         --- Olha, cheguei atrasado, o Sally estava a me substituir.
Sally was just subbing for me.                                                        --- Está a me dizer que esta lutadora é sua?
Yeah, this is my fighter.                                                             --- É a minha lutadora. Então tem dez segundos.
Then you got ten seconds. I keep holding my left up, then I throw a punch and it drops. --- Eu seguro a minha esquerda e dou um murro e ela baixa-se.
- Well, let it drop.                                                                  --- Deixa baixar.
- That'd be a lot easier.                                                             --- - Assim vai ser mais fácil.
She thinks she knows you, that's all.                                                 --- Ela pensa que te conhece, só isso.
Every time you drop it, she comes right over the top, so you just wait for her, see?  --- Todas as vezes que te baixas, ela vem por cima. Então esperas por ela, percebes?
That's all she's thinking about.                                                      --- Ela só está a pensar nisso.
And when she cocks that big right hand, you hear me?                                  --- E quando ela preparar aquela mão direita grande, estás a ouvir? - Estou a ouvir, chefe.
And when she does, you step to the side and come over with this big" good night" hook. --- - Quando ela fizer isso, vais para o lado e dás-lhe um belo gancho. - Tens um?
- Got one?                                                                            --- - Bem aqui. - ok.
- Got it right here. OK.                                                              --- - Lute ou encerro!
- Fight, or I'm calling it.                                                           --- Vai-te a ela!
- Go give it to her.                                                                  --- O corpo sabe o que os lutadores não sabem.
The body knows what fighters don't-how to protect itself.                             --- Como se proteger.
A neck can only twist so far. Twist it just a hair more and the body says" Hey, I'll take it from here cos you obviously don't know what you're doing." --- Um pescoço só estica até ao seu limite, estica um pouco mais, e o corpo diz," Ei, eu assumo o controlo agora", porque tu não sabes o que estás a fazer.
Neutral corner.                                                                       --- Vai para o teu canto.
Two, three, four.                                                                     --- - Viste como ela fez aquilo?
- See the way she did that?                                                           --- - Sim.
- Yeah.                                                                               --- Sugar Ray faria isso.
Sugar Ray would do that. Girl's got sugar.                                            --- A rapariga tem açúcar.
" Lie down now.                                                                       --- Fica deitada, descansa.
Rest and we'll talk about this when you regain your senses."                          --- E falamos sobre isso quando recuperares os sentidos.
It's called the knockout mechanism.                                                   --- É chamado de" Knock Out" Foste muito bem.
Don't get all carried away, now.                                                      --- É assim mesmo.
Thanks, boss.                                                                         --- Obrigada, chefe.
You, uh... You forgot the rule.                                                       --- Esqueceste-te da regra.
- Now, what is the rule?                                                              --- Qual é a regra? Manter a minha esquerda erguida?
- Keep my left up? It's to protect yourself at all times.                             --- É proteger sempre.
Now, what is the rule?                                                                --- - Qual é a regra? - Proteger-me sempre.
Protect myself at all times.                                                          --- Bom.
Good, good.                                                                           --- Bom. Deste-me para outro.
You gave me away.                                                                     --- Chamas isso de protecção?
How's that protecting me? It wasn't.                                                  --- Não.
It's OK.                                                                              --- Tudo bem.
I'll work on my left, boss.                                                           --- Vou trabalhar a minha esquerda, chefe.
Drink your water.                                                                     --- Bebe a tua água.
Other than that, how'd I do?                                                          --- - E no resto, como fui? - Bem.
Fine.                                                                                 --- Portaste-te bem
You gonna leave me again?                                                             --- Vai me deixar de novo?
Never.                                                                                --- Nunca.
That place you work-do they have homemade lemon meringue pie there?                   --- Esse lugar onde trabalhas, eles têm torta de limão com massa de suspiros, caseira? Claro.
Sure.                                                                                 --- Não são do tipo de porcaria com recheio de lata.
Not the kind with the canned filling crap? Oh, big can, yea size. It says" homemade" on the label. --- Um lata grande, deste tamanho, ela diz" caseira" no rótulo.
- I want you to take the weekend off.                                                 --- Quero que tires o fim de semana de folga. Mas é quinta.
- It's only Thursday. You gonna argue with me?                                        --- Vais discutir comigo?
Know better than to do that, boss.                                                    --- Não sou parva para fazer isso, chefe.
Good.                                                                                 --- Bom.
All fighters are pig-headed some way or other.                                        --- Todos os lutadores são teimosos de uma maneira ou doutra.
Some part of them always thinks they know better than you about something.            --- Alguma parte deles acha que sabe algo melhor do que tu.
Can you uh... spare a few minutes for the Immaculate Conception?                      --- Pode-me dar uns minutos... para falarmos sobre a" Concepção Imaculada"?
Truth is even if they're wrong, even if that one thing is going to be the ruin of them, if you can beat that last bit out of´em, then they ain't fighters at all. --- A verdade é que... mesmo que eles estiverem errados, mesmo que isso seja a ruína, se conseguir acabar com esse último elemento, então não são lutadores de maneira nenhuma.
Thought I said I'd see you Monday.                                                    --- Pensei que tinha dito para voltar só na segunda.
You sure did, boss.                                                                   --- Disse mesmo, chefe. Mas isso foi ontem à noite.
That was last night. You said not to argue with you.                                  --- Disse-me para não discutir.
Damn woman won't do a thing I tell her.                                               --- Esta maldita mulher não faz nada do que eu mando.
You want my advice?                                                                   --- - Queres o meu conselho? - O quê?
Where are your shoes?                                                                 --- Onde estão os teus sapatos?
I'm airing out my feet.                                                               --- Estou a arejar os pés.
You got big holes in your socks.                                                      --- Tens uns buracões nas tuas meias.
Oh, they're not that big.                                                             --- Não são tão grandes.
Didn't I give you money for some new ones?                                            --- Eu não te dei dinheiro para comprar umas novas?
These are my sleeping socks.                                                          --- Estas são as minhas meias de dormir.
My feet like a little air at night.                                                   --- Os meus pés gostam de um pouco de ar à noite.
How come you're wearing´em in the daytime, then?                                      --- Porque estás a usa-las de dia então?
Cos my daytime socks got too many holes in´em.                                        --- Porque as minhas meias diurnas têm buracos a mais.
Well, if I give you some more money, you buy some new socks. Please. Well, I'd be tempted, but I couldn't say for sure. --- Bem, se eu te der... mais dinheiro, compras algumas meias novas, por favor... bem, eu ficaria tentado, mas... não sei ao certo, talvez gaste em apostas.
Didn't take Maggie long to hit her stride.                                            --- Maggie não levou muito tempo... para ganhar umas consecutivas.
I got the breathing thing down.                                                       --- Aprendi a respirar.
No, you ain't breathing because you're knocking'em out in the first round.            --- Não aprendeste só estás é a pô-las" knock-out" no primeiro" round". Achei que esse era o objectivo.
Thought that was the point.                                                           --- O objectivo é seres boa.
The point is to get good. Can't get good if you keep knocking´em out in the first round. --- Não podes ser boa... se continuas a pô-las" kO" no primeiro" round".
How am I going to get you fights?                                                     --- Como é que te vou arranjar combates?
Nobody wants to see their fighter embarrassed.                                        --- Ninguém quer ver o seu lutador humilhado.
Why am I still doing four-rounders boss?                                              --- Porque é que ainda estou a fazer combates de 4" rounds", chefe?
Cos you haven't got the lungs for six rounds, that's why.                             --- Porque não tens pulmões para 6" rounds". É por isso.
I do if I keep knocking´em out in the first round.                                    --- Tenho sim, se continuar a a pô-las" kO" no 1º round.
Frankie made her fight one more four-rounder, just to let her know who was boss.      --- Frankie pôs a lutar mais um em combates de 4" rounds", só para mostrar quem era o chefe.
Three, four, five, six, seven.                                                        --- 3, 4, 5, 6, 7
Sorry, boss.                                                                          --- Desculpe, chefe.
Maggie left no doubt about it.                                                        --- Maggie não deixava dúvida.
Her first six-rounder didn't go quite as smooth.                                      --- A tua primeira luta de 6" rounds", não foi tão suave.
Down!                                                                                 --- Para o teu canto.
To the corner. Three, four... five, six, seven, eight, nine, ten! It's over!          --- 3, 4, 5, 6, 7, 8, 9, 10.
Maggie didn't knock her out till the end of the first round.                          --- Maggie só a pôs" knock out" no final do primeiro" round".
After that no manager wanted to put his fighter in with Maggie.                       --- Depois dessa, nenhum empresário... queria colocar o seu lutador a enfrentá-la.
Frankie had to go into his pocket to get her decent fights, sweetening the purse by paying managers on the side. --- O Frankie teve que usar o seu dinheiro... para lhe arranjar combates decentes." adoçando" o prémio pagando empresários por fora.
But that only worked for so long.                                                     --- Mas isso só deu certo por algum tempo.
Then Frankie did something he hated doing.                                            --- Aí, Frankie, fez algo que detestava fazer... ele arriscou.
He moved her up in class.                                                             --- Ele mudou-a de categoria de peso.
That could've been a mistake.                                                         --- Isso podia ter sido um erro.
Break.                                                                                --- Separem-se. Separem-se.
Break.                                                                                --- Afastem-se.
Step back.                                                                            --- Tempo.
- Dang.                                                                               --- Maldição!
- Dang.                                                                               --- Maldição!
Hey, give us two seconds, will ya?                                                    --- Dois segundos. Só dois segundos.
Just two seconds. - Your nose is broke.                                               --- - O teu nariz está partido.
- Dang!                                                                               --- - Arranja.
- Fix it.                                                                             --- - Não posso.
- I can't.                                                                            --- Não posso.
I can't.                                                                              --- Podes sim.
You can fix it. - I can't.                                                            --- Não posso, tenho que o fechar.
I've gotta call it.                                                                   --- Eu vi o que podes fazer.
- I've seen what you can do.                                                          --- Arranja!
Fix it. I can snap it back into place, but I can't stop the bleeding. The ring doctor's gonna call it. --- Eu posso pô-lo no lugar, mas não posso parar a hemorragia, o médico do ringue vai fechar.
Please. If you can stop the blood, I can beat her.                                    --- Se estancar o sangue, eu posso derrotá-la.
Bite down on this.                                                                    --- Morde isto.
Inhale.                                                                               --- Inala.
- What?                                                                               --- Inala.
- Inhale. What?                                                                       --- Inspira!
OK, huh?                                                                              --- - Tudo bem.
Yeah, it's OK.                                                                        --- Ok.
Yeah. All right. You got 20 seconds before this turns into a geyser and it's gonna spray all over the front row. --- Tens 20 segundos antes que isto se torne um "geiser"... e se espalhe pela primeira fila.
20 seconds-that's all you've got.                                                     --- 20 segundos. Só tens isso.
Get goin'.                                                                            --- Agora vai.
Go to your corner!                                                                    --- No teu canto.
Two, three, four, five, six, seven, eight, nine, ten!                                 --- 6,7,8,9,10.
" Mo cuishle."                                                                        --- Mo Cuishle
Whatcha reading?                                                                      --- O que estás a ler?
What's she saying?                                                                    --- O que ela está a dizer?
Wants to know what you're reading.                                                    --- Ela quer saber o que estás a ler.
It's Yeats.                                                                           --- É Yeats, fica com a cabeça para trás.
Why don't you talk a little Yeats to her?                                             --- Por que não lhe falas sobre Yeats?
Show her what a treat that is.                                                        --- Mostra como é uma delícia.
When the hell they gonna get to her?                                                  --- Quando é que é a vez dela?
I'm OK, Frankie.                                                                      --- Estou bem, Frankie. O que foi que aprendeste esta noite?
What'd you learn tonight? Always protect myself.                                      --- Proteger sempre.
- What's the rule?                                                                    --- - Qual é a regra?
- Always protect myself.                                                              --- - Proteger-me sempre.
- Margaret Fitzgerald?                                                                --- - Margaret Fitzgerald. - Aqui.
I'll be right here.                                                                   --- Estarei bem aqui.
How you doin'?                                                                        --- Como estás?
- Me?                                                                                 --- - Eu?
- Yeah, you.                                                                          --- - Sim, tu.
I'm not the one who's hurt.                                                           --- Não sou eu que estou mal.
