He is coming.                                                                         --- Ele vem aí.
We must find Vitruvius and get to the Office Tower before it's too late.              --- Temos de achar o Vitruvius e ir à Torre de Escritórios antes que seja tarde.
Okay)'-                                                                               --- Está bem.
Heh. How scary can someone's office be?                                               --- Quão assustador pode ser um escritório?DE NEGÓCIOS
President Business, we're trying to locate the fugitive... but his face is so generic it matches every other face in our database. --- Presidente de Negócios, estamos a tentar achar o fugitivo, mas tem uma cara tão comum que se confunde na nossa base de dados.
Diabolical.                                                                           --- Diabólico.
Okay, have Bad Cop meet me in my office...                                            --- Está bem, pede ao Polícia Mau que vá ao meu gabinete daqui
- ...in 23 seconds.                                                                   --- -a 23 segundos.
Ciao.                                                                                 --- 
- Will do, sir.                                                                       --- -Sim, senhor.
Coffee sales are through the roof, sir.                                               --- As vendas de café atingiram o tecto, chefe.
Glad to hear it. Let's rebuild that roof to be even higher!                           --- Vamos reconstruí-lo para ser ainda mais alto!
The roof team is on it.                                                               --- A equipa do telhado está a tratar disso.
Sir, can you approve this poster for Taco Tuesday?                                    --- Chefe, o que acha deste cartaz para a Terça dos Tacos?
Perfect.                                                                              --- Perfeito.
Whoo! - I love everyone in this room.                                                 --- 
- We love you, sir!                                                                   --- -Adoramo-lo, chefe!
- Great job on the radio station.                                                     --- -Parabéns pela estação de rádio.
- Thank you, sir.                                                                     --- -Obrigado.
We love listening to this song over and over again.                                   --- Adoramos estar sempre a ouvir esta canção.
Keep it up, GUYS-                                                                     --- Continuem, rapazes.
Honey, where are my...                                                                --- Querida, onde estão as minhas calças?
- ...pants?                                                                           --- 
Ha-ha-ha!                                                                             --- 
Cut!                                                                                  --- Corta!
Ha, ha!                                                                               --- Hilariante.
Hilarious.                                                                            --- Hilariante.
That never gets old.                                                                  --- Nunca me canso dessa.
It does not.                                                                          --- Nunca.
Bad Cop is waiting for you in your office.                                            --- O Polícia Mau está à sua espera no seu escritório.
Wonderful.                                                                            --- Óptimo.
Fantastic.                                                                            --- Fantástico.
Would you cancel my 2:00?                                                             --- Podes cancelar a reunião das 14 horas?
This next meeting could run a little bit... deadly.                                   --- Esta que vou ter agora pode tornar-se... ...fatal.
Activate helmet.                                                                      --- Activar capacete.
Light sequence.                                                                       --- Sequência de luz.
Flame test.                                                                           --- Teste de chamas.
- Engage dramatic entrance.                                                           --- Iniciar entrada teatral.
- Aah! Bad Cop.                                                                       --- Polícia Mau.
Lord Business. I know The Special got away, but...                                    --- Eu sei que o Escolhido fugiu, mas...
Don't be so serious.                                                                  --- Não estejas tão sério.
Where's the other guy?                                                                --- Onde está o outro tipo?
- Hey, friend.                                                                        --- -Viva, amigo.
- Hey, buddy!                                                                         --- -Olá, companheiro!
- I missed you.                                                                       --- 
- Aw, did you really?                                                                 --- -A sério?
Have I ever shown you my relic collection?                                            --- Já te mostrei a minha colecção de relíquias?
Nope.                                                                                 --- 
I don't think you have.                                                               --- Acho que não.
Nobody knows where this stuff comes from.                                             --- Ninguém sabe de onde vêm estas coisas.
This one... is the Cloak of Ban Da'ld.                                                --- Já te mostrei a minha colecção de relíquias?
I hear it's super painful to take off.                                                --- Disseram que dói muito a despi-lo.
- You wanna try it on?                                                                --- -Queres experimentar?
- Well, um...                                                                         --- -Bem...
No, but thank you.                                                                    --- Não, mas obrigado.
We've done some great work over the years together, Bad Cop... capturing all those MasterBuilders... and torturing them and whatnot. --- Nestes anos, fizemos um óptimo trabalho, Polícia Mau, a prender todos aqueles Mestres Construtores, a torturá-los e coisas assim.
Thank you, sir.                                                                       --- Obrigado, chefe.
Although... you did let the Piece of Resistance go.                                   --- Apesar de teres deixado fugir a Peça da Resistência.
The one thing that can ruin my plans.                                                 --- A única coisa que pode destruir os meus planos.
The one thing that I asked you to take care of.                                       --- A única coisa que eu te pedi que fizesses.
That's super frustrating.                                                             --- Isso é muito frustrante.
It makes me just wanna pick up whoever... is standing closest to me... and throw them through this window... and out into the infinite abyss of nothingness! --- Isso faz-me querer pegar em quem estiver mais perto de mim e atirá-lo desta janela para o abismo do infinito, do nada.
I wanna do it so bad.                                                                 --- Apetece-me tanto fazê-lo.
I know you do, sir.                                                                   --- Eu sei que sim.
Please don't.                                                                         --- Por favor, não o faça.
And it's not just you, Bad Cop, that keeps messing up my plans.                       --- E não és só tu, Polícia Mau, que estás a estragar os meus planos.
People everywhere are always messing with my stuff.                                   --- Há pessoas em todo o lado, sempre a mexer nas minhas coisas.
But I have a way to fix that.                                                         --- Mas tenho uma forma de resolver isso.
A way to keep things exactly the way they are supposed to be.                         --- Uma forma de manter as coisas tal como devem ser.
Permanently.                                                                          --- Para sempre.
Behold... the most powerful weapon... of all the relics:                              --- Observa... ...a arma mais poderosa entre todas as relíquias:
The Kragle!                                                                           --- O Kragle!
As you can see, they're loading the Kragle in a big machine upstairs.                 --- Como vês, estão a pôr o Kragle numa grande máquina lá em cima.
I call it... the Tentacle Arm Kragle Outside Sprayer.                                 --- Eu chamo-lhe o Tentáculo para Pulverizar o Kragle no Exterior.
Or TAKOS.                                                                             --- Ou TAKOS.
The "S" is silent.                                                                    --- O "S" não se lê.
So on Taco Tuesday... it's going to spray the Kragle over everyone and everything... with a bunch of super-scary nozzles like this one! --- Por isso, na Terça dos Tacos, vai pulverizar o Kragle sobre tudo e todos com uma série de bicos assustadores como este!
- I'll show you how it works.                                                         --- -Eu mostro-te como funciona.
- Sir, I don't know if this is necessary.                                             --- -Acho que não é necessário.
Oh, don't worry.                                                                      --- Não te preocupes.
I won't test it on you.                                                               --- Não vou usá-lo em ti.
I'll do it on your parents!                                                           --- Vou usá-lo nos teus pais!
What?                                                                                 --- O quê?
- Hi, son.                                                                            --- -Olá, filho.
- Hi!                                                                                 --- -Olá!
How's it going in the big city?                                                       --- Como estão as coisas na cidade?
Mommy.                                                                                --- Pai.
Daddy. What are you doing here?                                                       --- O que estão aqui a fazer?
Okay, Pa.                                                                             --- Pronto, pai.
I just want you to act naturally.                                                     --- Quero que ajas normalmente.
- Like you're going about your day.                                                   --- -Como se fosse um dia normal.
- Gotcha.                                                                             --- Sim.
Yeah. Keep your hand up like that.                                                    --- Mantém a mão assim.
Ma, scoot... two steps in to the right.                                               --- Mãe, desvia-te dois passos para a direita.
- Pa, whenever I talk to Ma...                                                        --- Mãe, desvia-te dois passos para a direita.
- Uh-huh?                                                                             --- -começas a mexer-te.
- ...you start to move.                                                               --- -começas a mexer-te.
- Sorry, sir.                                                                         --- -Desculpe, chefe.
Get back to where you were!                                                           --- Volta para onde estavas!
- Here?                                                                               --- -Exacto.
- Perfect.                                                                            --- -Exacto.
That's great.                                                                         --- Não podias ter feito melhor.
You can't do anything better.                                                         --- Não podias ter feito melhor.
No reason why you should move.                                                        --- -Não saias de onde estás.
Right.                                                                                --- -Certo.
Now, Ma... hand on his shoulder.                                                      --- Mãe, põe a mão em cima do ombro dele.
And you...                                                                            --- E tu...
- Pa, you just moved and you've just wrecked it!                                      --- Pai, acabaste de mexer e deste cabo de tudo.
- Uh-huh.                                                                             --- 
You wrecked it!                                                                       --- Deste cabo de tudo!
Bad Cop, you see what I'm talking about?                                              --- Polícia Mau, estás a ver a que me refiro?
All I'm asking for is total perfection.                                               --- Só quero que esteja tudo perfeito.
Send in a Micro-manager!                                                              --- Chama um Micro-gestor!
Commencing micro-management.                                                          --- 
Hold still, you guys.                                                                 --- Não se mexam.
And then... I just spray them...  With the TAKOS.                                     --- E depois, simplesmente pulverizo-os com o TAKOS.
Oh, Pa, hold me.                                                                      --- Querido, abraça-me.
Oh, darling, I can't move me legs.                                                    --- Meu amor, não consigo mexer as pernas.
- Does that upset you, Bad Cop?                                                       --- Aquilo perturba-te, Polícia Mau?
- Um...  Surely you feel bad for your parents, and you wanna help them, don't you?    --- Certamente tens pena dos teus pais e queres ajudá-los, não é?
We're okay, son.                                                                      --- Nós estamos bem, filho.
Just a little stuck, is all.                                                          --- Só um pouco presos, mais nada.
Go ahead... finish the job.                                                           --- Força... ...termina a tarefa.
Of course, sir.                                                                       --- Com certeza, chefe.
No, I don't want to.                                                                  --- Não, eu não quero.
- You have to.                                                                        --- -Tens de fazê-lo.
- I don't want to.                                                                    --- -Não quero.
- Would you please be quiet?                                                          --- -Podias calar-te?
- I can't.                                                                            --- -Tens de fazê-lo.
- You must.                                                                           --- Caluda!
Shut it!                                                                              --- -Mas eles...
- But they...                                                                         --- -Não é correcto.
- it's not nice.                                                                      --- -Não é correcto.
- It's your job, man.                                                                 --- -É a tua função, rapaz.
I can't do it.                                                                        --- Eu não consigo.
- They're innocent.                                                                   --- -Eles são inocentes.
- Just as I thought.                                                                  --- -Tal como eu pensava.
Your Good Cop side's making you soft, Bad Cop.                                        --- O teu lado de Polícia Bom está a tornar-te fraco, Polícia Mau.
Robots!                                                                               --- Robôs!
Bring me the ﬂeece-crested Scepter of Q-Teep... and the Pé-Lish Remover of Na-ll.     --- Tragam-me o Ceptro em algodão de Coton-Ete e o Removedor de Vêr-nish de Unh-As.
You've already let The Special get away once.                                         --- Já deixaste o Escolhido escapar uma vez.
Sir.                                                                                  --- Chefe.
I'm just gonna make sure it doesn't happen again.                                     --- Eu vou certificar-me de que não volta a acontecer.
No more Mr. Nice Guy!                                                                 --- Acabaram-se as simpatias!
Oh, son!                                                                              --- Filho!
On Taco Tuesday, I'm going to Kragleize the entire universe... so that everyone will stop messing with my stuff! --- Na Terça dos Tacos, vou pulverizar o universo com o Kragle, para que parem de mexer nas minhas coisas.
Are you gonna be with me... or are you gonna be stuck... having a tea party with your mom and dad? --- Vais estar ao meu lado, ou vais ficar preso a beber chá com a tua mãe e o teu pai?
Son?                                                                                  --- Filho?
Sorry, Dad.                                                                           --- Desculpa, pai.
I have a job to do.                                                                   --- Tenho um trabalho a fazer.
All you have to do is blend in and act like you belong here.                          --- Só tens de integrar-te e agir como eles.
Ah, perfect.                                                                          --- Muito bem.
Well, hi there, I'm a cowboy!                                                         --- Ora viva, sou um cowboy!
Bang, bang, bang-bang-bang-bang!                                                      --- Dispara, dispara, dispara.
Shoot, shoot, shoot.                                                                  --- Dispara, dispara, dispara.
Bullet, bullet, gun.                                                                  --- Bala, bala, arma.
Zap, zap, zap, pow.                                                                   --- 
Zap, pow.                                                                             --- 
- What are they looking at?                                                           --- -Eles estão a olhar para o quê?
- I made a mistake.                                                                   --- -Cometi um erro.
You should just be still.                                                             --- Imagina que és um banco.
Act like a stool.                                                                     --- -Espera!
- Wait!                                                                               --- -Viva, malta!
- Howdy, guys!                                                                        --- -Viva, malta!
- Quiet.                                                                              --- 
Nope, stools don't talk.                                                              --- Os bancos não falam.
- Come sit on me.                                                                     --- -Sentem-se em cima de mim.
Okay, shh.                                                                            --- -Sentem-se em cima de mim.
Let me show you how it's done.                                                        --- Deixa-me mostrar-te como se faz.
What a lady!                                                                          --- 
Okay, let me just find the wizard... and get this over with.                          --- Deixa-me procurar o feiticeiro, para ver se acabamos com isto.
- Ooh!                                                                                --- 
- There he is.                                                                        --- Ali está ele.
- Vitruvius.                                                                          --- -Vitruvius.
- Who?                                                                                --- -Quem?
I've never heard of that man, whom I am not.                                          --- Nunca ouvi falar desse homem que eu não sou.
- Who are you?                                                                        --- -Quem és tu?
- It's me.                                                                            --- -Sou eu.
I am a blind man and cannot see.                                                      --- Sou cego e não consigo ver.
- It's Wyldstyle.                                                                     --- 
- Oof. Are you a DJ?                                                                  --- És DJ?
- What?                                                                               --- Porque é que todos...
Why does everybody...?                                                                --- Porque é que todos...
- Oh, wait, wait.                                                                     --- -Espera, espera.
Are you the student I used to have... who was so insecure she kept changing her name? --- És aquela minha aluna tão insegura que estava sempre a mudar de nome?
No, no, no.                                                                           --- -Não.
- First Darkstorm, then Geminizzle.                                                   --- 
Never.                                                                                --- Nunca.
Okay.                                                                                 --- 
All right, yes. Meet me upstairs in 10 seconds.                                       --- 
Oh, man.                                                                              --- Caramba.
You have a very weirdly...                                                            --- Tem uma casa com
- ...decorated place.                                                                 --- -uma estranha decoração.
- Thank you.                                                                          --- -Obrigado.
Vitruvius, we have found the Piece of Resistance.                                     --- Vitruvius, achámos a Peça da Resistência.
- Is it true?                                                                         --- -É verdade?
- Yes, but...                                                                         --- -Sim, mas...
Wyldstyle.                                                                            --- SuperCool.
The prophecy states that... you are The Special.                                      --- A profecia afirma que tu és A Escolhida.
The embodiment of good, foiler of evil.                                               --- A encarnação do Bem, combatente contra o Mal.
The most talented, most brilliant... most important person in the universe.           --- Isso seria óptimo... ...mas quem achou a Peça foi o Emmet.
That would be great... but Emmet is the one who found the Piece.                      --- Isso seria óptimo... ...mas quem achou a Peça foi o Emmet.
Oh, okay.                                                                             --- Está bem.
Emmet!                                                                                --- Emmet!
The prophecy states that... you are The Special.                                      --- A profecia diz que tu és o Escolhido.
- The most talented...                                                                --- -O mais talentoso...
- I'm not sure he's The Special.                                                      --- -Não sei se ele é o Escolhido.
Because he's not even a MasterBuilder.                                                --- Porque ele nem sequer é um Mestre Construtor.
Watch. Emmet, just given what's around you...                                         --- 
- ...build something simple.                                                          --- -Tipo um carro de corrida.
- Okay.                                                                               --- 
- Like an awesome race car.                                                           --- -Tipo um carro de corrida.
- Great.                                                                              --- -Força.
- Go. - Do you have the instructions?                                                 --- -Tens as instruções?
No. You must create the instructions in your mind, my liege.                          --- Tens de criar as instruções na tua mente, meu senhor.
Ah.                                                                                   --- Certo.
Okay. Race car.                                                                       --- Um carro de corrida.
Um...  Well, there's a lot of really cool stuff here.                                 --- 
Don't see a wheel...  OI'... three more wheels.                                       --- Não vejo uma roda ou... ...mais três rodas.
See?                                                                                  --- 
He can't do it.                                                                       --- Ele não consegue.
He will never be a MasterBuilder.                                                     --- Nunca será um Mestre Construtor.
Of course not. Not if you keep telling him he can't.                                  --- Sobretudo se continuares a dizer isso.
He needs to see that he can.                                                          --- Ele tem de ver que é capaz.
What are you doing?                                                                   --- O que está a fazer?
- We are entering your mind...                                                        --- -Estamos a entrar na tua mente...
- What?                                                                               --- -O quê?
To prove that you have the unlocked potential... to be a MasterBuilder.               --- ...para provar que tens potencial para seres um Mestre Construtor.
Ujjayi breath.                                                                        --- Respiração Ujjayi.
Whoa, are we inside my brain right now?                                               --- Estamos dentro da minha mente?
- It's big.                                                                           --- Eu devo ser inteligente.
I must be smart.                                                                      --- Eu devo ser inteligente.
Mm-hm. I'm not hearing a lot of activity here.                                        --- 
I don't think he's ever had an original thought.                                      --- Acho que ele nunca teve um pensamento próprio
In his life.                                                                          --- -durante a vida dele.
Ha, ha.                                                                               --- -durante a vida dele.
That's not true.                                                                      --- -Isso é mentira.
For instance, one time I wanted to have... a bunch of my friends over to watch TV...  --- Por exemplo, uma vez quis convidar uma série de amigos para ver televisão...
Not unlike this TV that just showed up magically.                                     --- Parecida com esta, que apareceu como por magia.
And not everybody can fit on my one couch... and I thought to myself: "What if there was such a thing as a bunk bed... but as a couch?" Introducing the double-decker couch. --- Não havia lugar para todos no meu sofá, por isso pensei: "E se houvesse um beliche que funcionasse como um sofá?"
So everyone could watch TV together and be buddies!                                   --- Para que todos possam ver televisão e ser amigos.
That is literally the dumbest thing I've ever heard.                                  --- É a coisa mais idiota que já ouvi.
Please, Wyldstyle, let me handle this.                                                --- Por favor, SuperCool, deixa-me tratar disto.
That idea is just the worst.                                                          --- Essa ideia é péssima.
There must be something around here... that proves his potential.                     --- Tem de haver aqui alguma coisa que prove o potencial dele.
If The Man Upstairs chose him to be The Special... there must be a reason.            --- Se o Homem Lá de Cima acha que ele é o Escolhido, tem de haver um motivo.
- Who's The Man Upstairs?                                                             --- -Quem é o Homem Lá de Cima?
- See? He doesn't even know about The Man Upstairs.                                   --- Ele nem sabe quem é o Homem Lá de Cima.
Does he have, like, super-gross hands... that look like they're made out of big pink sausages? --- Ele tem mãos nojentas que parece que são feitas a partir de salsichas?
Like eagle talons mixed with squid?                                                   --- Tipo garras de águia misturadas com lulas?
Wait.                                                                                 --- 
You've seen the...?                                                                   --- Viste o...
Whoa! That's what I was just thinking about.                                          --- 
How did you...?                                                                       --- Como é que tu...
I had this weird dream when I touched the Piece.                                      --- Tive um sonho estranho quando toquei na Peça.
Well, I mean, I wasn't asleep, so it wasn't really a dream.                           --- Bem, eu não estava a dormir, por isso não foi um sonho.
Emmet, you had a vision.                                                              --- Emmet, tiveste uma visão.
I did?                                                                                --- A sério?
MasterBuilders spend years... training themselves to clear their minds enough... to have even a fleeting glimpse of The Man Upstairs... and yet, your mind is already so prodigiously empty... that there is nothing in it to clear away in the first place. --- Os Mestres Construtores passam anos a treinar como libertar a mente para terem um pequeno vislumbre do Homem Lá de Cima, e contudo, a tua mente já está tão extraordinariamente vazia que não existe nada nela para limpar.
With proper training... you could become a great MasterBuilder.                       --- Com a devida preparação, podes tornar-te num óptimo Mestre Construtor.
I could?                                                                              --- A sério?
The prophecy chose you, Emmet.                                                        --- A profecia escolheu-te, Emmet.
But I can't do any of the stuff... that the prophecy says I'm supposed to do.         --- Mas eu não sei fazer nenhuma das coisas que a profecia diz que eu sou capaz de fazer.
All you have to do is to believe.                                                     --- Só tens de acreditar.
Then... you will see everything.                                                      --- Depois... ...vais ver tudo.
Are you ready, my son?                                                                --- Estás pronto, meu filho?
Yes, I am.                                                                            --- Sim, estou.
I think.                                                                              --- Acho eu.
Then we haven't a moment to lose.                                                     --- Não temos um minuto a perder.
We must assemble... the MasterBuilders.                                               --- Temos de reunir... ...os Mestres Construtores.
Do you think Zeppelins are a bad investment?                                          --- Achas que dirigíveis são um mau investimento?
Any of you fellas seen this guy?                                                      --- Algum de vocês viu este tipo?
Wait a minute, partner.                                                               --- Espera aí, parceiro.
Draw a cowboy hat on him.                                                             --- Desenha um chapéu de cowboy nele.
These mechanical birds will get our message out.                                      --- Estes pássaros mecânicos vão passar a nossa mensagem.
They will go to an Internet cafe... and e-mail the remaining MasterBuilders... who will meet us in the secret realm of Cloud Cuckooland. --- Eles vão a um cibercafé enviar um e-mail aos restantes Mestres Construtores, que virão ter connosco ao reino da Nuvem da Alucinolândia.
Cuckooland?                                                                           --- Alucinolândia?
Wait.                                                                                 --- Espera.
What happened to that whole training part?                                            --- Então e a parte do treino?
Don't worry, Emmet.                                                                   --- Não te preocupes, Emmet.
Your training begins now.                                                             --- O teu treino começa agora.
Piano man... mope" UP-                                                                --- Ó homem do piano, abre a porta.
Your training begins later!                                                           --- O teu treino começa depois.
On three.                                                                             --- Aos três.
One...                                                                                --- Um...
- Whew. I think we're in the clear.                                                   --- Acho que estamos safos.
- Freeze, turkeys.                                                                    --- 
All I want is the Piece of Resistance.                                                --- Só quero a Peça da Resistência.
We would rather he died than give it to you.                                          --- Preferíamos que ele morresse, a dar-ta.
I would not rather he died.                                                           --- Eu preferia que ele não morresse.
Look, everybody, we can do this the easy way, or we can do it...                      --- Ouçam, podemos fazer isto da forma fácil ou podemos...
Go, run!                                                                              --- Vamos, fujam!
They took the hard way.                                                               --- Eles escolheram a mais difícil.
Fire! Fire!                                                                           --- Disparem!
Vitruvius, which way to Cloud Cuckooland?                                             --- Vitruvius, qual é o caminho para a Nuvem da Alucinolândia?
Head for the big bright thing in the sky.                                             --- Dirige-te àquilo que mais brilha no céu.
- You mean the sun?                                                                   --- -Estás a falar do Sol?
- Yeah.                                                                               --- -É isso mesmo.
Yeah, that's it.                                                                      --- -É isso mesmo.
Let's get out of here.                                                                --- -Vamos sair daqui.
Here, use this.                                                                       --- Toma, usa isto.
What?                                                                                 --- Espera, o que...
Wait, hey...                                                                          --- Espera, o que...
- What are you doing?                                                                 --- -O que estás a fazer?
Aah!                                                                                  --- -Vamos!
- Let's go!                                                                           --- -Vamos!
I don't know what I'm doing.                                                          --- Não sei o que estou a fazer.
Good bye.                                                                             --- Adeus.
Boom!                                                                                 --- Adeus.
Oh, dang!                                                                             --- Estou no meio de porcos!
Aah! I've got pigs!                                                                   --- Estou no meio de porcos!
I hate pigs!                                                                          --- Odeio porcos!
Quit playing around in the mud.                                                       --- Deixem-se de brincadeiras.
I could use your help.                                                                --- Preciso da vossa ajuda.
Wyldstyle, we could really use... your help!                                          --- SuperCool, nós precisamos muito da tua ajuda!
Oink, oink, oink.                                                                     --- 
Oink!                                                                                 --- Vitruvius, eles estão a aproximar-se.
Vitruvius, they're gaining on us.                                                     --- Vitruvius, eles estão a aproximar-se.
Build something!                                                                      --- Constrói alguma coisa!
Let Emmet try!                                                                        --- Deixa o Emmet tentar!
No, let's not let Emmet try!                                                          --- O Emmet não pode!
I haven't had any training.                                                           --- Ainda não tive formação.
That's okay.                                                                          --- Não faz mal.
We'll start with how to become a MasterBuilder.                                       --- Vamos começar com como ser um Mestre Construtor.
Trust your instincts.                                                                 --- Passo um: Confia nos teus instintos.
Okay, okay.                                                                           --- Está bem, está bem.
Um...                                                                                 --- 
Build something!                                                                      --- Constrói alguma coisa!
Build something!                                                                      --- Constrói alguma coisa!
Aha. Take that!                                                                       --- 
Unless your instincts are terrible.                                                   --- Excepto se os teus instintos forem maus.
No!                                                                                   --- A roda!
The wheel!                                                                            --- A roda!
I can't control it much longer!                                                       --- Não consigo controlá-lo durante muito mais tempo.
Emmet, we need to attach the wheel to something that spins around.                    --- Emmet, temos de pôr a roda em algo que gire.
Um...  We need to attach the wheel to something that spins around.                    --- Temos de pôr a roda em algo que gire.
We need to attach the wheel to something that spins around.                           --- Temos de pôr a roda em algo que gire.
We need to attach the wheel to something that spins around.                           --- Temos de pôr a roda em algo que gire.
Something that spins around.                                                          --- Algo que gire.
Spins around.                                                                         --- Andar à roda.
Spins around.                                                                         --- Andar à roda.
Oh.                                                                                   --- Andar à roda.
Emmet, where are you going?                                                           --- Emmet, aonde vais?
Oh, this better work.                                                                 --- É bom que isto funcione.
Hang tight!                                                                           --- Segurem-se bem!
Dagnabit!                                                                             --- Ora bolas!
Well done, Emmet.                                                                     --- Muito bem, Emmet.
Hey!                                                                                  --- 
I did it.                                                                             --- É bom que isto funcione.
Wow. You actually did it.                                                             --- 
Train!                                                                                --- Comboio!
Oh, no.                                                                               --- Não.
Get off my train.                                                                     --- Saiam do meu comboio.
Run!                                                                                  --- Fujam!
Wyldstyle!                                                                            --- SuperCool!
Owie!                                                                                 --- Ele vem contra nós.
He's gonna ram us.                                                                    --- Ele vem contra nós.
Quick, quick, quick!                                                                  --- 
That piece!                                                                           --- Dá-me aquela peça.
Give me that piece.                                                                   --- Dá-me aquela peça.
Huh?                                                                                  --- Constrói uma rampa!
Build a ramp!                                                                         --- Constrói uma rampa!
What the heck?                                                                        --- O que raio?
Rest in pieces.                                                                       --- Descansem em peças.
- Uh...                                                                               --- Não.
- Oh, no.                                                                             --- Espera.
Wait.                                                                                 --- Não, não.
No, no, no.                                                                           --- Não, não.
Hey)'-                                                                                --- Escuta.
Thanks for saving my life back there.                                                 --- Obrigada por me salvares a vida há pouco.
Even if, you know... eventually it turned out to be pointless.                        --- Mesmo que, tu sabes, afinal de contas, acabe por ser inútil.
Well, for what it's worth... this has been about the greatest 15 minutes of my life.  --- Bem, seja como for, estes foram os melhores 15 minutos da minha vida.
What the...?                                                                          --- O que...
Relax, everybody, I'm here.                                                           --- Tenham calma, malta, cheguei.
Batman!                                                                               --- Batman!
- What's up, babe?                                                                    --- -Tudo bem, querida?
- Babe!                                                                               --- -Querido!
- What?                                                                               --- -Desculpa.
- Oh, sorry.                                                                          --- -Desculpa.
